,index,prediction,realValue,accuracy
144,[144],2839840.0,[3324874],[85.41]
145,[145],4294527.0,[3317196],[70.54]
146,[146],2722160.0,[3280993],[82.97]
147,[147],3207616.0,[3273879],[97.98]
148,[148],2578130.0,[3248904],[79.35]
149,[149],3576043.0,[3240370],[89.64]
150,[150],2351893.0,[3227647],[72.87]
151,[151],3069742.0,[3130046],[98.07]
152,[152],2906325.0,[3125069],[93.]
153,[153],3736723.0,[3117859],[80.15]
154,[154],3668671.0,[3100113],[81.66]
155,[155],3544200.0,[3018154],[82.57]
156,[156],2974209.0,[3024666],[98.33]
157,[157],3638004.0,[3049894],[80.72]
158,[158],3357358.0,[3044859],[89.74]
159,[159],3019884.0,[3039889],[99.34]
160,[160],2235993.0,[2985556],[74.89]
161,[161],3161682.0,[2979805],[93.9]
162,[162],3394667.0,[3004649],[87.02]
163,[163],3369120.0,[2957736],[86.09]
164,[164],2765964.0,[3009406],[91.91]
165,[165],3134723.0,[3000115],[95.51]
166,[166],2534884.0,[2982230],[85.]
167,[167],2903928.0,[2971475],[97.73]
168,[168],5247036.0,[2963652],[22.95]
169,[169],1719713.0,[2934795],[58.6]
170,[170],2925220.0,[2945151],[99.32]
171,[171],3122246.0,[2938818],[93.76]
172,[172],3184266.0,[2931897],[91.39]
173,[173],2460381.0,[2869938],[85.73]
174,[174],3656960.0,[3019960],[78.91]
175,[175],2407858.0,[2858750],[84.23]
176,[176],2974718.0,[2860786],[96.02]
177,[177],2936285.0,[2841828],[96.68]
178,[178],2883387.0,[2847340],[98.73]
179,[179],2930557.0,[2836774],[96.69]
180,[180],3118230.0,[2818993],[89.38]
181,[181],2836767.0,[2812427],[99.13]
182,[182],2626776.0,[2853500],[92.05]
183,[183],2927546.0,[2801949],[95.52]
184,[184],3770471.0,[2792705],[64.99]
185,[185],2405674.0,[2773794],[86.73]
186,[186],3856129.0,[2723028],[58.39]
187,[187],2706841.0,[2744413],[98.63]
188,[188],2715394.0,[2735721],[99.26]
189,[189],2662255.0,[2684798],[99.16]
190,[190],2253576.0,[2722574],[82.77]
191,[191],2981657.0,[2729827],[90.77]
192,[192],3241160.0,[2718237],[80.76]
193,[193],2638396.0,[2718158],[97.07]
194,[194],3039350.0,[2694436],[87.2]
195,[195],2276583.0,[2665886],[85.4]
196,[196],2350569.0,[2642483],[88.95]
197,[197],3033690.0,[2675618],[86.62]
198,[198],2711402.0,[2711094],[99.99]
199,[199],3386016.0,[2658589],[72.64]
200,[200],2585629.0,[2654817],[97.39]
201,[201],3402783.0,[2625686],[70.4]
202,[202],2361023.0,[2625636],[89.92]
203,[203],1360658.0,[2636385],[51.61]
204,[204],2910333.0,[2614601],[88.69]
205,[205],3096553.0,[2611966],[81.45]
206,[206],2254509.0,[2571814],[87.66]
207,[207],2213362.0,[2601761],[85.07]
208,[208],2627622.0,[2601572],[99.]
209,[209],2273165.0,[2595625],[87.58]
210,[210],3311500.0,[2594420],[72.36]
211,[211],2035451.0,[2554960],[79.67]
212,[212],2676550.0,[2588628],[96.6]
213,[213],2586031.0,[2564340],[99.15]
214,[214],2952510.0,[2539113],[83.72]
215,[215],3160183.0,[2534979],[75.34]
216,[216],3096722.0,[2537438],[77.96]
217,[217],2307146.0,[2520700],[91.53]
218,[218],3193092.0,[2515501],[73.06]
219,[219],2723996.0,[2475797],[89.97]
220,[220],2538892.0,[2452245],[96.47]
221,[221],2730146.0,[2436884],[87.97]
222,[222],2489636.0,[2434435],[97.73]
223,[223],2421486.0,[2444180],[99.07]
224,[224],2433265.0,[2421197],[99.5]
225,[225],2754944.0,[2393103],[84.88]
226,[226],2669209.0,[2394487],[88.53]
227,[227],1629873.0,[2359061],[69.09]
228,[228],1737262.0,[2376266],[73.11]
229,[229],3667616.0,[2368267],[45.14]
230,[230],2539040.0,[2367942],[92.77]
231,[231],2044273.0,[2359273],[86.65]
232,[232],2034440.0,[2342579],[86.85]
233,[233],3965442.0,[2541603],[43.98]
234,[234],2127421.0,[2318748],[91.75]
235,[235],2444459.0,[2310206],[94.19]
236,[236],2643511.0,[2308646],[85.5]
