,model,accuracy,train_error,validation_error,n_features,n_trees,differenceTEtoVE,t_rank,v_rank,d_rank,a_rank,rank_Average,choice
0,default,89.43,20870973855 ,103920337835 ,98 ,10 ,83049363980 ,7,7,7,2,5.75,x
1,randomCV,89.08,4121104133 ,47841158535 ,98 ,3000 ,43720054402 ,4,3,2,6,3.75,x
2,default_grid,89.16,0 ,44579728886 ,98 ,400 ,44579728886 ,1,2,3,5,2.75,x
3,important14,88.11,19703725563 ,94617251960 ,14 ,10 ,74913526396 ,6,5,5,7,5.75,x
4,grid_95,89.25,344179740 ,57506782946 ,14 ,3000 ,57162603206 ,3,4,4,3,3.5,x
5,important42,90.09,16803374504 ,97343880175 ,42 ,10 ,80540505672 ,5,6,6,1,4.5,x
6,grid_99,89.24,192289651 ,40880335798 ,42 ,3000 ,40688046147 ,2,1,1,4,2,o
