,index,prediction,realValue,accuracy
144,[144],3331327.0,[3324874],[99.81]
145,[145],3605041.0,[3317196],[91.32]
146,[146],3318734.0,[3280993],[98.85]
147,[147],3229620.0,[3273879],[98.65]
148,[148],3126943.0,[3248904],[96.25]
149,[149],3428149.0,[3240370],[94.21]
150,[150],2948993.0,[3227647],[91.37]
151,[151],3154620.0,[3130046],[99.21]
152,[152],3092244.0,[3125069],[98.95]
153,[153],3626442.0,[3117859],[83.69]
154,[154],3137575.0,[3100113],[98.79]
155,[155],3027342.0,[3018154],[99.7]
156,[156],3096513.0,[3024666],[97.62]
157,[157],3068942.0,[3049894],[99.38]
158,[158],3078052.0,[3044859],[98.91]
159,[159],2861249.0,[3039889],[94.12]
160,[160],2591834.0,[2985556],[86.81]
161,[161],2921357.0,[2979805],[98.04]
162,[162],3534596.0,[3004649],[82.36]
163,[163],3165210.0,[2957736],[92.99]
164,[164],2892964.0,[3009406],[96.13]
165,[165],2851478.0,[3000115],[95.05]
166,[166],2694678.0,[2982230],[90.36]
167,[167],3121376.0,[2971475],[94.96]
168,[168],7761292.0,[2963652],[-61.88]
169,[169],3121503.0,[2934795],[93.64]
170,[170],2651773.0,[2945151],[90.04]
171,[171],3362094.0,[2938818],[85.6]
172,[172],2936539.0,[2931897],[99.84]
173,[173],2551521.0,[2869938],[88.91]
174,[174],3161808.0,[3019960],[95.3]
175,[175],2736082.0,[2858750],[95.71]
176,[176],2957112.0,[2860786],[96.63]
177,[177],2522504.0,[2841828],[88.76]
178,[178],2922375.0,[2847340],[97.36]
179,[179],2813692.0,[2836774],[99.19]
180,[180],2821795.0,[2818993],[99.9]
181,[181],2670069.0,[2812427],[94.94]
182,[182],2831876.0,[2853500],[99.24]
183,[183],2831598.0,[2801949],[98.94]
184,[184],3891707.0,[2792705],[60.65]
185,[185],2828027.0,[2773794],[98.04]
186,[186],3216606.0,[2723028],[81.87]
187,[187],2513614.0,[2744413],[91.59]
188,[188],3296554.0,[2735721],[79.5]
189,[189],2379020.0,[2684798],[88.61]
190,[190],2617887.0,[2722574],[96.15]
191,[191],2693638.0,[2729827],[98.67]
192,[192],2721288.0,[2718237],[99.89]
193,[193],2484625.0,[2718158],[91.41]
194,[194],2632517.0,[2694436],[97.7]
195,[195],2734498.0,[2665886],[97.43]
196,[196],2133422.0,[2642483],[80.74]
