,index,prediction,realValue,accuracy
0,[0],17734582.0,[17615166],[99.32]
1,[1],14350669.0,[14410931],[99.58]
2,[2],14317977.0,[14262636],[99.61]
3,[3],11556538.0,[13338087],[86.64]
4,[4],13296901.0,[13414200],[99.13]
5,[5],13175321.0,[12983841],[98.53]
6,[6],13181772.0,[12811435],[97.11]
7,[7],13051546.0,[12706663],[97.29]
8,[8],11655407.0,[12323595],[94.58]
9,[9],12354690.0,[12189195],[98.64]
10,[10],11759096.0,[11566862],[98.34]
11,[11],11595435.0,[11324561],[97.61]
12,[12],11082351.0,[11374879],[97.43]
13,[13],10390116.0,[10494499],[99.01]
14,[14],11062550.0,[10296101],[92.56]
15,[15],10319647.0,[10309432],[99.9]
16,[16],9656541.0,[9707581],[99.47]
17,[17],9488663.0,[9135806],[96.14]
18,[18],9682299.0,[9001331],[92.43]
19,[19],9157393.0,[9350351],[97.94]
20,[20],8769476.0,[8677249],[98.94]
21,[21],8815118.0,[8659725],[98.21]
22,[22],8468067.0,[8666208],[97.71]
23,[23],8080121.0,[8035181],[99.44]
24,[24],7293165.0,[8223342],[88.69]
25,[25],8207305.0,[7817618],[95.02]
26,[26],7212868.0,[7785189],[92.65]
27,[27],7737359.0,[7759761],[99.71]
28,[28],7417392.0,[7508976],[98.78]
29,[29],7096257.0,[7393443],[95.98]
30,[30],7321754.0,[7500457],[97.62]
31,[31],6394714.0,[7470633],[85.6]
32,[32],5192479.0,[7363139],[70.52]
33,[33],7062092.0,[7258678],[97.29]
34,[34],7636910.0,[7231770],[94.4]
35,[35],7298644.0,[7166532],[98.16]
36,[36],7329943.0,[7150586],[97.49]
37,[37],7219254.0,[7120780],[98.62]
38,[38],7315413.0,[7074891],[96.6]
39,[39],7062637.0,[7072507],[99.86]
40,[40],7073038.0,[7050475],[99.68]
41,[41],6880599.0,[6975571],[98.64]
42,[42],7130569.0,[6959083],[97.54]
43,[43],7087504.0,[6879989],[96.98]
44,[44],6970099.0,[6880535],[98.7]
45,[45],6515069.0,[6686054],[97.44]
46,[46],7274856.0,[6655068],[90.69]
47,[47],6483649.0,[6592151],[98.35]
48,[48],6566991.0,[6399303],[97.38]
49,[49],6312844.0,[6178617],[97.83]
50,[50],6031833.0,[6247651],[96.55]
51,[51],6191351.0,[6065474],[97.92]
52,[52],6177633.0,[6126488],[99.17]
53,[53],5823229.0,[6129681],[95.]
54,[54],6685776.0,[6044956],[89.4]
55,[55],5989080.0,[5835017],[97.36]
56,[56],5872211.0,[5920977],[99.18]
57,[57],5759583.0,[5653270],[98.12]
58,[58],5642211.0,[5604106],[99.32]
59,[59],5603696.0,[5599665],[99.93]
60,[60],5884461.0,[5584139],[94.62]
61,[61],5831859.0,[5546823],[94.86]
62,[62],5152618.0,[5416829],[95.12]
63,[63],6214853.0,[5508299],[87.17]
64,[64],5337591.0,[5397597],[98.89]
65,[65],5597744.0,[5446379],[97.22]
66,[66],5516306.0,[5443049],[98.65]
67,[67],5414332.0,[5399070],[99.72]
68,[68],5056783.0,[5317693],[95.09]
69,[69],5039075.0,[5311353],[94.87]
70,[70],5245946.0,[5295836],[99.06]
71,[71],11262435.0,[11206127],[99.5]
72,[72],5429809.0,[5237525],[96.33]
73,[73],5250851.0,[5181014],[98.65]
74,[74],4783720.0,[5138328],[93.1]
75,[75],4767908.0,[5046096],[94.49]
76,[76],4903573.0,[5064796],[96.82]
77,[77],5093744.0,[4969735],[97.5]
78,[78],4904875.0,[4945484],[99.18]
79,[79],5016805.0,[4909950],[97.82]
80,[80],5138087.0,[4881865],[94.75]
81,[81],4813478.0,[4857152],[99.1]
82,[82],4606980.0,[4853273],[94.93]
83,[83],5326784.0,[4801873],[89.07]
84,[84],4849667.0,[4786259],[98.68]
85,[85],4606686.0,[4775811],[96.46]
86,[86],4660169.0,[4720050],[98.73]
87,[87],3558756.0,[4706158],[75.62]
88,[88],4830589.0,[4699307],[97.21]
89,[89],4757771.0,[4682492],[98.39]
90,[90],4491021.0,[4654266],[96.49]
91,[91],4510988.0,[4667179],[96.65]
92,[92],4713178.0,[4662926],[98.92]
93,[93],4478835.0,[4598985],[97.39]
94,[94],4670479.0,[4584800],[98.13]
95,[95],4369127.0,[4499776],[97.1]
96,[96],4098346.0,[4578239],[89.52]
97,[97],4322706.0,[4515833],[95.72]
98,[98],4614605.0,[4425003],[95.72]
99,[99],4528518.0,[4452755],[98.3]
100,[100],4399171.0,[4421210],[99.5]
101,[101],4389010.0,[4300365],[97.94]
102,[102],4411128.0,[4313871],[97.75]
103,[103],4592130.0,[4313102],[93.53]
104,[104],4486828.0,[4288750],[95.38]
105,[105],4125865.0,[4168353],[98.98]
106,[106],4434584.0,[4111753],[92.15]
107,[107],4199179.0,[4131338],[98.36]
108,[108],3851768.0,[4112608],[93.66]
109,[109],3835418.0,[4090885],[93.76]
110,[110],4185309.0,[4039891],[96.4]
111,[111],4558884.0,[4175526],[90.82]
112,[112],4203377.0,[4058225],[96.42]
113,[113],4276329.0,[4018872],[93.59]
114,[114],3837112.0,[4018341],[95.49]
115,[115],3778311.0,[4002560],[94.4]
116,[116],3994310.0,[4015361],[99.48]
117,[117],4145275.0,[3984814],[95.97]
118,[118],4108858.0,[3963251],[96.33]
119,[119],3790917.0,[3897969],[97.25]
120,[120],3749080.0,[3872015],[96.83]
121,[121],3809755.0,[3849700],[98.96]
122,[122],3766485.0,[3871214],[97.29]
123,[123],3922453.0,[3849129],[98.1]
124,[124],3749310.0,[3749034],[99.99]
125,[125],3708981.0,[3728439],[99.48]
126,[126],3727599.0,[3689325],[98.96]
127,[127],3634736.0,[3653238],[99.49]
128,[128],3790934.0,[3711224],[97.85]
129,[129],3809681.0,[3611166],[94.5]
130,[130],3549976.0,[3587182],[98.96]
131,[131],3328058.0,[3579666],[92.97]
132,[132],3458436.0,[3496526],[98.91]
133,[133],3547418.0,[3566852],[99.46]
134,[134],3501568.0,[3513137],[99.67]
135,[135],3840392.0,[3460212],[89.01]
136,[136],3678067.0,[3450305],[93.4]
137,[137],2823480.0,[3429640],[82.33]
138,[138],3673776.0,[3436092],[93.08]
139,[139],3546874.0,[3418403],[96.24]
