,model,accuracy,train_error,validation_error,n_features,n_trees,differenceTEtoVE
0,default,81.67,1.68791E+11,9.43512E+11,35,10,7.74721E+11
1,randomCV,79.41,2.66998E+10,1.36083E+12,35,200,1.33413E+12
2,default_grid,79.41,2.66998E+10,1.36083E+12,35,200,1.33413E+12
3,important10,83.07,1.56517E+11,9.50154E+11,10,10,7.93637E+11
4,grid_95,78.34,2.06661E+11,1.18575E+12,10,200,9.79091E+11
5,important23,81.73,1.46701E+11,8.90331E+11,23,10,7.4363E+11
6,grid_99,79.2,2.56492E+10,1.23288E+12,23,200,1.20723E+12
