,index,prediction,realValue,accuracy
144,[144],3015242.0,[3324874],[90.69]
145,[145],4083262.0,[3317196],[76.91]
146,[146],3269495.0,[3280993],[99.65]
147,[147],3429773.0,[3273879],[95.24]
148,[148],2444831.0,[3248904],[75.25]
149,[149],3838762.0,[3240370],[81.53]
150,[150],2398878.0,[3227647],[74.32]
151,[151],2689962.0,[3130046],[85.94]
152,[152],2877260.0,[3125069],[92.07]
153,[153],3883461.0,[3117859],[75.44]
154,[154],3456432.0,[3100113],[88.51]
155,[155],3448099.0,[3018154],[85.75]
156,[156],2794817.0,[3024666],[92.4]
157,[157],3616550.0,[3049894],[81.42]
158,[158],3374599.0,[3044859],[89.17]
159,[159],2676518.0,[3039889],[88.05]
160,[160],2183748.0,[2985556],[73.14]
161,[161],3177246.0,[2979805],[93.37]
162,[162],3298635.0,[3004649],[90.22]
163,[163],2965566.0,[2957736],[99.74]
164,[164],2611832.0,[3009406],[86.79]
165,[165],2916588.0,[3000115],[97.22]
166,[166],2931647.0,[2982230],[98.3]
167,[167],3218332.0,[2971475],[91.69]
168,[168],5423545.0,[2963652],[17.]
169,[169],1575546.0,[2934795],[53.69]
170,[170],2952445.0,[2945151],[99.75]
171,[171],3303453.0,[2938818],[87.59]
172,[172],3137845.0,[2931897],[92.98]
173,[173],1957183.0,[2869938],[68.2]
174,[174],3141395.0,[3019960],[95.98]
175,[175],2057258.0,[2858750],[71.96]
176,[176],3073816.0,[2860786],[92.55]
177,[177],2790251.0,[2841828],[98.19]
178,[178],2813068.0,[2847340],[98.8]
179,[179],2707711.0,[2836774],[95.45]
180,[180],3080564.0,[2818993],[90.72]
181,[181],2752781.0,[2812427],[97.88]
182,[182],2309597.0,[2853500],[80.94]
183,[183],2737988.0,[2801949],[97.72]
184,[184],4331588.0,[2792705],[44.9]
185,[185],2009722.0,[2773794],[72.45]
186,[186],3686796.0,[2723028],[64.61]
187,[187],2557317.0,[2744413],[93.18]
188,[188],3046426.0,[2735721],[88.64]
189,[189],2357624.0,[2684798],[87.81]
190,[190],1751681.0,[2722574],[64.34]
191,[191],2788712.0,[2729827],[97.84]
192,[192],2961479.0,[2718237],[91.05]
193,[193],2855587.0,[2718158],[94.94]
194,[194],2436242.0,[2694436],[90.42]
195,[195],2041094.0,[2665886],[76.56]
196,[196],2245634.0,[2642483],[84.98]
197,[197],3221379.0,[2675618],[79.6]
198,[198],2721454.0,[2711094],[99.62]
199,[199],3453065.0,[2658589],[70.12]
200,[200],2568330.0,[2654817],[96.74]
201,[201],3069984.0,[2625686],[83.08]
202,[202],2449755.0,[2625636],[93.3]
203,[203],1784924.0,[2636385],[67.7]
204,[204],3433229.0,[2614601],[68.69]
205,[205],3134415.0,[2611966],[80.]
206,[206],2105556.0,[2571814],[81.87]
207,[207],2052400.0,[2601761],[78.89]
208,[208],2963500.0,[2601572],[86.09]
209,[209],1979976.0,[2595625],[76.28]
210,[210],4287411.0,[2594420],[34.74]
211,[211],1959661.0,[2554960],[76.7]
