,index,prediction,realValue,accuracy
0,0,12125034,17615166,68.83
1,1,12348602,14410931,85.69
2,2,9905030,14262636,69.45
3,3,6074601,13338087,45.54
4,4,10351570,13414200,77.17
5,5,10469414,12983841,80.63
6,6,9797930,12811435,76.48
7,7,9465711,12706663,74.49
8,8,6342078,12323595,51.46
9,9,11444205,12189195,93.89
10,10,12354381,11566862,93.19
11,11,9943995,11324561,87.81
12,12,14791502,11374879,69.96
13,13,9718796,10494499,92.61
14,14,10079190,10296101,97.89
15,15,9142893,10309432,88.68
16,16,8098689,9707581,83.43
17,17,8383575,9135806,91.77
18,18,6956443,9001331,77.28
19,19,8404255,9350351,89.88
20,20,10339857,8677249,80.84
21,21,8692692,8659725,99.62
22,22,7488454,8666208,86.41
23,23,10557644,8035181,68.61
24,24,8244014,8223342,99.75
25,25,6387412,7817618,81.71
26,26,5422511,7785189,69.65
27,27,6413891,7759761,82.66
28,28,2353577,7508976,31.34
29,29,3803672,7393443,51.45
30,30,7202357,7500457,96.03
31,31,5290429,7470633,70.82
32,32,8010230,7363139,91.21
33,33,7572548,7258678,95.68
34,34,8139389,7231770,87.45
35,35,7002535,7166532,97.71
36,36,7655597,7150586,92.94
37,37,7093019,7120780,99.61
38,38,7112308,7074891,99.47
39,39,6848675,7072507,96.84
40,40,7358724,7050475,95.63
41,41,7950052,6975571,86.03
42,42,8533954,6959083,77.37
43,43,9911331,6879989,55.94
44,44,6909221,6880535,99.58
45,45,6347551,6686054,94.94
46,46,6391378,6655068,96.04
47,47,10288321,6592151,43.93
48,48,6666034,6399303,95.83
49,49,6946434,6178617,87.57
50,50,6877846,6247651,89.91
51,51,7685685,6065474,73.29
52,52,4606928,6126488,75.2
53,53,4383859,6129681,71.52
54,54,7745407,6044956,71.87
55,55,4602789,5835017,78.88
56,56,5153649,5920977,87.04
57,57,6008280,5653270,93.72
58,58,5091480,5604106,90.85
59,59,4393801,5599665,78.47
60,60,5780576,5584139,96.48
61,61,5950950,5546823,92.71
62,62,6592330,5416829,78.3
63,63,6098907,5508299,89.28
64,64,4142950,5397597,76.76
65,65,5377661,5446379,98.74
66,66,6405855,5443049,82.31
67,67,6831639,5399070,73.47
68,68,6936138,5317693,69.56
69,69,5475726,5311353,96.91
70,70,5155498,5295836,97.35
71,71,10444949,11206127,93.21
72,72,3269531,5237525,62.43
73,73,5309464,5181014,97.52
74,74,4903025,5138328,95.42
75,75,5544325,5046096,90.13
76,76,3314935,5064796,65.45
77,77,4535343,4969735,91.26
78,78,4767188,4945484,96.39
79,79,4182876,4909950,85.19
80,80,3330287,4881865,68.22
81,81,5131176,4857152,94.36
82,82,2568462,4853273,52.92
83,83,3573183,4801873,74.41
84,84,4756566,4786259,99.38
85,85,6331178,4775811,67.43
86,86,4051461,4720050,85.84
87,87,3515562,4706158,74.7
88,88,3183315,4699307,67.74
89,89,4736473,4682492,98.85
90,90,4210792,4654266,90.47
91,91,4302096,4667179,92.18
92,92,4969629,4662926,93.42
93,93,3381519,4598985,73.53
94,94,5324288,4584800,83.87
95,95,2379677,4499776,52.88
96,96,1593124,4578239,34.8
97,97,4745309,4515833,94.92
98,98,3268255,4425003,73.86
99,99,5365465,4452755,79.5
100,100,2731123,4421210,61.77
101,101,3100411,4300365,72.1
102,102,4084206,4313871,94.68
103,103,3534241,4313102,81.94
104,104,5431025,4288750,73.37
105,105,3218320,4168353,77.21
106,106,1552538,4111753,37.76
107,107,4365166,4131338,94.34
108,108,4670308,4112608,86.44
109,109,1997115,4090885,48.82
110,110,3933489,4039891,97.37
111,111,6512565,4175526,44.03
112,112,4502011,4058225,89.06
113,113,3178084,4018872,79.08
114,114,4800320,4018341,80.54
115,115,2864074,4002560,71.56
116,116,4786344,4015361,80.8
117,117,3907370,3984814,98.06
118,118,3394017,3963251,85.64
119,119,3754148,3897969,96.31
120,120,3569238,3872015,92.18
121,121,3775599,3849700,98.08
122,122,4151649,3871214,92.76
123,123,5336477,3849129,61.36
124,124,3879718,3749034,96.51
