,index,prediction,realValue,accuracy
0,0,17734582,17615166,99.32
1,1,14350669,14410931,99.58
2,2,14317977,14262636,99.61
3,3,11556538,13338087,86.64
4,4,13296901,13414200,99.13
5,5,13175321,12983841,98.53
6,6,13181772,12811435,97.11
7,7,13051546,12706663,97.29
8,8,11655407,12323595,94.58
9,9,12354690,12189195,98.64
10,10,11759096,11566862,98.34
11,11,11595435,11324561,97.61
12,12,11082351,11374879,97.43
13,13,10390116,10494499,99.01
14,14,11062550,10296101,92.56
15,15,10319647,10309432,99.9
16,16,9656541,9707581,99.47
17,17,9488663,9135806,96.14
18,18,9682299,9001331,92.43
19,19,9157393,9350351,97.94
20,20,8769476,8677249,98.94
21,21,8815118,8659725,98.21
22,22,8468067,8666208,97.71
23,23,8080121,8035181,99.44
24,24,7293165,8223342,88.69
25,25,8207305,7817618,95.02
26,26,7212868,7785189,92.65
27,27,7737359,7759761,99.71
28,28,7417392,7508976,98.78
29,29,7096257,7393443,95.98
30,30,7321754,7500457,97.62
31,31,6394714,7470633,85.6
32,32,5192479,7363139,70.52
33,33,7062092,7258678,97.29
34,34,7636910,7231770,94.4
35,35,7298644,7166532,98.16
36,36,7329943,7150586,97.49
37,37,7219254,7120780,98.62
38,38,7315413,7074891,96.6
39,39,7062637,7072507,99.86
40,40,7073038,7050475,99.68
41,41,6880599,6975571,98.64
42,42,7130569,6959083,97.54
43,43,7087504,6879989,96.98
44,44,6970099,6880535,98.7
45,45,6515069,6686054,97.44
46,46,7274856,6655068,90.69
47,47,6483649,6592151,98.35
48,48,6566991,6399303,97.38
49,49,6312844,6178617,97.83
50,50,6031833,6247651,96.55
51,51,6191351,6065474,97.92
52,52,6177633,6126488,99.17
53,53,5823229,6129681,95.0
54,54,6685776,6044956,89.4
55,55,5989080,5835017,97.36
56,56,5872211,5920977,99.18
57,57,5759583,5653270,98.12
58,58,5642211,5604106,99.32
59,59,5603696,5599665,99.93
60,60,5884461,5584139,94.62
61,61,5831859,5546823,94.86
62,62,5152618,5416829,95.12
63,63,6214853,5508299,87.17
64,64,5337591,5397597,98.89
65,65,5597744,5446379,97.22
66,66,5516306,5443049,98.65
67,67,5414332,5399070,99.72
68,68,5056783,5317693,95.09
69,69,5039075,5311353,94.87
70,70,5245946,5295836,99.06
71,71,11262435,11206127,99.5
72,72,5429809,5237525,96.33
73,73,5250851,5181014,98.65
74,74,4783720,5138328,93.1
75,75,4767908,5046096,94.49
76,76,4903573,5064796,96.82
77,77,5093744,4969735,97.5
78,78,4904875,4945484,99.18
79,79,5016805,4909950,97.82
80,80,5138087,4881865,94.75
81,81,4813478,4857152,99.1
82,82,4606980,4853273,94.93
83,83,5326784,4801873,89.07
84,84,4849667,4786259,98.68
85,85,4606686,4775811,96.46
86,86,4660169,4720050,98.73
87,87,3558756,4706158,75.62
88,88,4830589,4699307,97.21
89,89,4757771,4682492,98.39
90,90,4491021,4654266,96.49
91,91,4510988,4667179,96.65
92,92,4713178,4662926,98.92
93,93,4478835,4598985,97.39
94,94,4670479,4584800,98.13
95,95,4369127,4499776,97.1
96,96,4098346,4578239,89.52
97,97,4322706,4515833,95.72
98,98,4614605,4425003,95.72
99,99,4528518,4452755,98.3
100,100,4399171,4421210,99.5
101,101,4389010,4300365,97.94
102,102,4411128,4313871,97.75
103,103,4592130,4313102,93.53
104,104,4486828,4288750,95.38
105,105,4125865,4168353,98.98
106,106,4434584,4111753,92.15
107,107,4199179,4131338,98.36
108,108,3851768,4112608,93.66
109,109,3835418,4090885,93.76
110,110,4185309,4039891,96.4
111,111,4558884,4175526,90.82
112,112,4203377,4058225,96.42
113,113,4276329,4018872,93.59
114,114,3837112,4018341,95.49
115,115,3778311,4002560,94.4
116,116,3994310,4015361,99.48
117,117,4145275,3984814,95.97
118,118,4108858,3963251,96.33
119,119,3790917,3897969,97.25
120,120,3749080,3872015,96.83
121,121,3809755,3849700,98.96
122,122,3766485,3871214,97.29
123,123,3922453,3849129,98.1
124,124,3749310,3749034,99.99
125,125,3708981,3728439,99.48
126,126,3727599,3689325,98.96
127,127,3634736,3653238,99.49
128,128,3790934,3711224,97.85
129,129,3809681,3611166,94.5
130,130,3549976,3587182,98.96
131,131,3328058,3579666,92.97
132,132,3458436,3496526,98.91
133,133,3547418,3566852,99.46
134,134,3501568,3513137,99.67
135,135,3840392,3460212,89.01
136,136,3678067,3450305,93.4
137,137,2823480,3429640,82.33
138,138,3673776,3436092,93.08
139,139,3546874,3418403,96.24
140,140,3485747,3350311,95.96
141,141,3798059,3330326,85.96
142,142,3160854,3379762,93.52
143,143,3791197,3396313,88.37
144,144,3374760,3324874,98.5
145,145,3410838,3317196,97.18
146,146,3282111,3280993,99.97
147,147,3534303,3273879,92.05
148,148,3165762,3248904,97.44
149,149,3104407,3240370,95.8
150,150,3228909,3227647,99.96
151,151,3061438,3130046,97.81
152,152,3349899,3125069,92.81
153,153,3060149,3117859,98.15
154,154,3106886,3100113,99.78
155,155,3167313,3018154,95.06
156,156,3137857,3024666,96.26
157,157,3037289,3049894,99.59
158,158,2998187,3044859,98.47
159,159,3086936,3039889,98.45
160,160,2785060,2985556,93.28
161,161,2755637,2979805,92.48
162,162,3010726,3004649,99.8
163,163,2763655,2957736,93.44
164,164,3053614,3009406,98.53
165,165,2939363,3000115,97.98
166,166,3050593,2982230,97.71
167,167,2874140,2971475,96.72
168,168,3080643,2963652,96.05
