,index,prediction,realValue,accuracy
0,0,17303065,17615166,98.23
1,1,14656455,14410931,98.3
2,2,14273414,14262636,99.92
3,3,13300555,13338087,99.72
4,4,13420778,13414200,99.95
5,5,12944729,12983841,99.7
6,6,12740497,12811435,99.45
7,7,12744339,12706663,99.7
8,8,12300044,12323595,99.81
9,9,12036155,12189195,98.74
10,10,11512379,11566862,99.53
11,11,11313510,11324561,99.9
12,12,11358106,11374879,99.85
13,13,10507079,10494499,99.88
14,14,10318344,10296101,99.78
15,15,10375738,10309432,99.36
16,16,9677464,9707581,99.69
17,17,9113013,9135806,99.75
18,18,9040317,9001331,99.57
19,19,9373492,9350351,99.75
20,20,8726725,8677249,99.43
21,21,8640938,8659725,99.78
22,22,8624070,8666208,99.51
23,23,8786504,8035181,90.65
24,24,8131155,8223342,98.88
25,25,7828709,7817618,99.86
26,26,7749096,7785189,99.54
27,27,7777524,7759761,99.77
28,28,7518783,7508976,99.87
29,29,6932652,7393443,93.77
30,30,7952592,7500457,93.97
31,31,7445101,7470633,99.66
32,32,5217971,7363139,70.87
33,33,7282470,7258678,99.67
34,34,7228138,7231770,99.95
35,35,7168508,7166532,99.97
36,36,7161978,7150586,99.84
37,37,7126073,7120780,99.93
38,38,7086113,7074891,99.84
39,39,7095698,7072507,99.67
40,40,7000120,7050475,99.29
41,41,6969911,6975571,99.92
42,42,6959174,6959083,100.0
43,43,6903087,6879989,99.66
44,44,7093537,6880535,96.9
45,45,6644472,6686054,99.38
46,46,6647407,6655068,99.88
47,47,6456833,6592151,97.95
48,48,6419467,6399303,99.68
49,49,6207893,6178617,99.53
50,50,6229323,6247651,99.71
51,51,5367084,6065474,88.49
52,52,6174568,6126488,99.22
53,53,6108413,6129681,99.65
54,54,6108293,6044956,98.95
55,55,5887507,5835017,99.1
56,56,5915405,5920977,99.91
57,57,5653453,5653270,100.0
58,58,5626099,5604106,99.61
59,59,5630167,5599665,99.46
60,60,5593631,5584139,99.83
61,61,5529836,5546823,99.69
62,62,5427693,5416829,99.8
63,63,5522363,5508299,99.74
64,64,5390921,5397597,99.88
65,65,6090596,5446379,88.17
66,66,5435774,5443049,99.87
67,67,5461154,5399070,98.85
68,68,5336990,5317693,99.64
69,69,5391302,5311353,98.49
70,70,4854901,5295836,91.67
71,71,10368925,11206127,92.53
72,72,5240776,5237525,99.94
73,73,5518785,5181014,93.48
74,74,5148152,5138328,99.81
75,75,5030642,5046096,99.69
76,76,4614673,5064796,91.11
77,77,4987451,4969735,99.64
78,78,4097480,4945484,82.85
79,79,4900322,4909950,99.8
80,80,4877168,4881865,99.9
81,81,4852963,4857152,99.91
82,82,4860114,4853273,99.86
83,83,4754892,4801873,99.02
84,84,4781287,4786259,99.9
85,85,4784245,4775811,99.82
86,86,4714454,4720050,99.88
87,87,4665804,4706158,99.14
88,88,4695194,4699307,99.91
89,89,4678678,4682492,99.92
90,90,4663617,4654266,99.8
91,91,4671782,4667179,99.9
92,92,4674247,4662926,99.76
93,93,4595947,4598985,99.93
94,94,4598413,4584800,99.7
95,95,4494346,4499776,99.88
96,96,4566587,4578239,99.75
97,97,4512367,4515833,99.92
98,98,4399085,4425003,99.41
99,99,4192831,4452755,94.16
100,100,4425425,4421210,99.9
101,101,4297229,4300365,99.93
102,102,4319102,4313871,99.88
103,103,4311064,4313102,99.95
104,104,4287821,4288750,99.98
105,105,4156307,4168353,99.71
106,106,4127074,4111753,99.63
107,107,4112388,4131338,99.54
108,108,4101092,4112608,99.72
109,109,3333729,4090885,81.49
110,110,4056757,4039891,99.58
111,111,4543224,4175526,91.19
112,112,4073757,4058225,99.62
113,113,4030679,4018872,99.71
114,114,4008764,4018341,99.76
115,115,3686341,4002560,92.1
116,116,4013451,4015361,99.95
117,117,3986950,3984814,99.95
118,118,3969851,3963251,99.83
119,119,3910383,3897969,99.68
120,120,3877650,3872015,99.85
121,121,3859124,3849700,99.76
122,122,3891798,3871214,99.47
123,123,2883999,3849129,74.93
124,124,3717540,3749034,99.16
125,125,3727318,3728439,99.97
126,126,3706643,3689325,99.53
127,127,3661736,3653238,99.77
128,128,3721021,3711224,99.74
129,129,3602796,3611166,99.77
130,130,3598436,3587182,99.69
131,131,3562984,3579666,99.53
132,132,3501255,3496526,99.86
133,133,3579175,3566852,99.65
134,134,3517166,3513137,99.89
135,135,4465908,3460212,70.94
136,136,3453937,3450305,99.89
137,137,3457017,3429640,99.2
138,138,3455387,3436092,99.44
139,139,3430983,3418403,99.63
140,140,3349605,3350311,99.98
141,141,3328045,3330326,99.93
142,142,3365390,3379762,99.57
143,143,3394802,3396313,99.96
144,144,3316070,3324874,99.74
145,145,3317058,3317196,100.0
146,146,3290227,3280993,99.72
147,147,3279411,3273879,99.83
148,148,3269101,3248904,99.38
149,149,3232588,3240370,99.76
150,150,3238164,3227647,99.67
151,151,3130576,3130046,99.98
152,152,3124528,3125069,99.98
153,153,3106512,3117859,99.64
154,154,3101763,3100113,99.95
155,155,3019776,3018154,99.95
156,156,3025039,3024666,99.99
157,157,3053823,3049894,99.87
158,158,3047512,3044859,99.91
159,159,3046445,3039889,99.78
160,160,2991298,2985556,99.81
161,161,2975478,2979805,99.85
162,162,3086450,3004649,97.28
163,163,2956804,2957736,99.97
164,164,3018109,3009406,99.71
165,165,2999575,3000115,99.98
166,166,2993006,2982230,99.64
167,167,2974277,2971475,99.91
168,168,3415897,2963652,84.74
169,169,2894911,2934795,98.64
170,170,3072216,2945151,95.69
171,171,2931192,2938818,99.74
172,172,2936440,2931897,99.85
173,173,2724869,2869938,94.95
174,174,3021494,3019960,99.95
175,175,2856862,2858750,99.93
176,176,2861206,2860786,99.99
177,177,2843480,2841828,99.94
178,178,2848449,2847340,99.96
179,179,2838026,2836774,99.96
180,180,2811235,2818993,99.72
181,181,2815134,2812427,99.9
182,182,2847625,2853500,99.79
183,183,2800392,2801949,99.94
184,184,2629621,2792705,94.16
185,185,2595444,2773794,93.57
186,186,2726856,2723028,99.86
187,187,2746131,2744413,99.94
188,188,2217578,2735721,81.06
189,189,2686716,2684798,99.93
190,190,2721090,2722574,99.95
191,191,2731438,2729827,99.94
192,192,2714806,2718237,99.87
193,193,2719275,2718158,99.96
194,194,2689674,2694436,99.82
195,195,2665293,2665886,99.98
196,196,2729114,2642483,96.72
197,197,2674029,2675618,99.94
198,198,2715529,2711094,99.84
199,199,2660115,2658589,99.94
200,200,2659936,2654817,99.81
201,201,2627344,2625686,99.94
202,202,2622628,2625636,99.89
203,203,2794601,2636385,94.0
204,204,2605229,2614601,99.64
205,205,2602073,2611966,99.62
206,206,2568828,2571814,99.88
207,207,2602342,2601761,99.98
208,208,2617028,2601572,99.41
209,209,2596258,2595625,99.98
210,210,2153460,2594420,83.0
211,211,2554146,2554960,99.97
212,212,2561516,2588628,98.95
213,213,2556518,2564340,99.69
214,214,2541940,2539113,99.89
215,215,2533235,2534979,99.93
216,216,2545738,2537438,99.67
217,217,2525345,2520700,99.82
218,218,2516734,2515501,99.95
219,219,2475212,2475797,99.98
220,220,1854425,2452245,75.62
221,221,2435894,2436884,99.96
222,222,2434864,2434435,99.98
223,223,2450588,2444180,99.74
224,224,2430830,2421197,99.6
225,225,2394607,2393103,99.94
226,226,2392755,2394487,99.93
227,227,2348227,2359061,99.54
228,228,2388766,2376266,99.47
229,229,2353765,2368267,99.39
230,230,2371751,2367942,99.84
231,231,2362767,2359273,99.85
232,232,2351224,2342579,99.63
233,233,2530558,2541603,99.57
234,234,2325917,2318748,99.69
235,235,2315059,2310206,99.79
