,index,prediction,realValue,accuracy
199,199,3029937,2658589,86.03
200,200,2667496,2654817,99.52
201,201,3029621,2625686,84.62
202,202,2269472,2625636,86.44
203,203,2373926,2636385,90.04
204,204,2532967,2614601,96.88
205,205,2324862,2611966,89.01
206,206,3518991,2571814,63.17
207,207,2592043,2601761,99.63
208,208,3268846,2601572,74.35
209,209,2357416,2595625,90.82
210,210,2711685,2594420,95.48
211,211,2488724,2554960,97.41
212,212,2702738,2588628,95.59
213,213,2544983,2564340,99.25
214,214,2515424,2539113,99.07
215,215,2202328,2534979,86.88
216,216,3015053,2537438,81.18
217,217,2291985,2520700,90.93
218,218,3092019,2515501,77.08
219,219,3093482,2475797,75.05
220,220,1892914,2452245,77.19
221,221,2830272,2436884,83.86
222,222,2385763,2434435,98.0
223,223,3273297,2444180,66.08
224,224,2683290,2421197,89.18
225,225,2429520,2393103,98.48
226,226,2599023,2394487,91.46
227,227,1772316,2359061,75.13
228,228,1920268,2376266,80.81
229,229,2581846,2368267,90.98
230,230,2407177,2367942,98.34
231,231,2268052,2359273,96.13
232,232,2191778,2342579,93.56
233,233,2902605,2541603,85.8
234,234,2219547,2318748,95.72
235,235,2256077,2310206,97.66
236,236,1934711,2308646,83.8
237,237,2338945,2299751,98.3
238,238,2473169,2282744,91.66
239,239,2084971,2243484,92.93
240,240,1982679,2262758,87.62
241,241,2195012,2224118,98.69
242,242,1986987,2292172,86.69
243,243,2119186,2256913,93.9
244,244,2598720,2254236,84.72
245,245,2685885,2241687,80.18
246,246,2206776,2239156,98.55
247,247,2394588,2206948,91.5
248,248,2481531,2242510,89.34
249,249,2188197,2184425,99.83
250,250,2053698,2205160,93.13
251,251,1855003,2202509,84.22
252,252,2489799,2192525,86.44
253,253,2445653,2192276,88.44
254,254,2457719,2147012,85.53
255,255,2171320,2182227,99.5
256,256,2876777,2260512,72.74
257,257,2151338,2165401,99.35
258,258,2810825,2130645,68.08
259,259,2548506,2135509,80.66
260,260,2339851,2142670,90.8
261,261,2362806,2138425,89.51
262,262,2300222,2141155,92.57
263,263,2460411,2108561,83.31
264,264,2040352,2069546,98.59
265,265,2418085,2095592,84.61
266,266,2056157,2084482,98.64
267,267,2381084,2084868,85.79
268,268,2117125,2067538,97.6
269,269,1875847,2080445,90.17
270,270,2352399,2078825,86.84
271,271,2637426,2169109,78.41
272,272,1754082,2058616,85.21
273,273,2617863,2057896,72.79
274,274,1766643,2051315,86.12
275,275,2496094,2051277,78.32
276,276,1842713,2026594,90.93
277,277,2202465,2007665,90.3
278,278,2028115,1970823,97.09
279,279,1862686,1972440,94.44
280,280,2210313,1980050,88.37
281,281,1794568,1974893,90.87
282,282,2329740,1933467,79.5
283,283,1551498,1906687,81.37
284,284,1851974,1934270,95.75
285,285,2126508,1928605,89.74
286,286,1836308,1925154,95.38
287,287,1772548,1901731,93.21
288,288,2010394,1892467,93.77
289,289,1460364,1898220,76.93
290,290,1952905,1891993,96.78
291,291,1872002,1887733,99.17
292,292,1657303,1846180,89.77
293,293,1924088,1843404,95.62
294,294,1856287,1865354,99.51
295,295,1909365,1867849,97.78
296,296,2033119,2006561,98.68
297,297,2172686,1872682,83.98
298,298,2143418,1855917,84.51
299,299,1933181,1855489,95.81
300,300,1687463,1854711,90.98
301,301,2236782,1817069,76.9
302,302,1914568,1831741,95.48
303,303,1400129,1820842,76.89
304,304,1888975,1778843,93.81
305,305,1978780,1784165,89.09
306,306,1797340,1790916,99.64
307,307,1683797,1799447,93.57
308,308,1723245,1786386,96.47
309,309,1665707,1747305,95.33
