,index,prediction,realValue,accuracy
0,0,16118520,17615166,91.5
1,1,14195884,14410931,98.51
2,2,8584055,14262636,60.19
3,3,7078904,13338087,53.07
4,4,10724592,13414200,79.95
5,5,11026285,12983841,84.92
6,6,9504163,12811435,74.19
7,7,10570660,12706663,83.19
8,8,6419996,12323595,52.1
9,9,12243804,12189195,99.55
10,10,12529450,11566862,91.68
11,11,9809513,11324561,86.62
12,12,12922344,11374879,86.4
13,13,10088102,10494499,96.13
14,14,8533251,10296101,82.88
15,15,9355995,10309432,90.75
16,16,11600168,9707581,80.5
17,17,8930234,9135806,97.75
18,18,8819424,9001331,97.98
19,19,9250056,9350351,98.93
20,20,10208675,8677249,82.35
21,21,7062154,8659725,81.55
22,22,7189961,8666208,82.97
23,23,8273509,8035181,97.03
24,24,6337674,8223342,77.07
25,25,5209237,7817618,66.63
26,26,7158134,7785189,91.95
27,27,5904497,7759761,76.09
28,28,3878390,7508976,51.65
29,29,6050759,7393443,81.84
30,30,7256842,7500457,96.75
31,31,5914271,7470633,79.17
32,32,6211309,7363139,84.36
33,33,8344859,7258678,85.04
34,34,7987770,7231770,89.55
35,35,7218905,7166532,99.27
36,36,8540795,7150586,80.56
37,37,8307597,7120780,83.33
38,38,7469881,7074891,94.42
39,39,6600585,7072507,93.33
40,40,8485757,7050475,79.64
41,41,8118869,6975571,83.61
42,42,8283221,6959083,80.97
43,43,9207428,6879989,66.17
44,44,6678857,6880535,97.07
45,45,6766930,6686054,98.79
46,46,6215698,6655068,93.4
47,47,9311074,6592151,58.76
48,48,7356950,6399303,85.04
49,49,6039487,6178617,97.75
50,50,6019776,6247651,96.35
51,51,7853349,6065474,70.52
52,52,6507818,6126488,93.78
53,53,3876767,6129681,63.25
54,54,7016852,6044956,83.92
55,55,4952022,5835017,84.87
56,56,5149988,5920977,86.98
57,57,6761861,5653270,80.39
58,58,5655286,5604106,99.09
59,59,5029122,5599665,89.81
60,60,6115053,5584139,90.49
61,61,5700854,5546823,97.22
62,62,5500637,5416829,98.45
63,63,6262064,5508299,86.32
64,64,4737146,5397597,87.76
65,65,5422321,5446379,99.56
66,66,6553415,5443049,79.6
67,67,6342078,5399070,82.53
68,68,6006585,5317693,87.05
69,69,4382028,5311353,82.5
70,70,5393597,5295836,98.15
71,71,11363171,11206127,98.6
72,72,4357508,5237525,83.2
73,73,4402421,5181014,84.97
74,74,5124728,5138328,99.74
75,75,4674204,5046096,92.63
76,76,5098195,5064796,99.34
77,77,4288086,4969735,86.28
78,78,5050814,4945484,97.87
79,79,4615716,4909950,94.01
80,80,3628716,4881865,74.33
81,81,4921065,4857152,98.68
82,82,3820595,4853273,78.72
83,83,2520634,4801873,52.49
84,84,4705684,4786259,98.32
85,85,7012799,4775811,53.16
86,86,4297030,4720050,91.04
87,87,2823848,4706158,60.0
88,88,4014800,4699307,85.43
89,89,4636409,4682492,99.02
90,90,4115079,4654266,88.42
91,91,4534130,4667179,97.15
92,92,4800823,4662926,97.04
93,93,3298286,4598985,71.72
94,94,5092344,4584800,88.93
95,95,3933942,4499776,87.43
96,96,2068080,4578239,45.17
97,97,5126567,4515833,86.48
98,98,5651780,4425003,72.28
99,99,5343697,4452755,79.99
100,100,4079888,4421210,92.28
101,101,4129468,4300365,96.03
102,102,5149697,4313871,80.62
103,103,4473446,4313102,96.28
104,104,5384594,4288750,74.45
105,105,3708493,4168353,88.97
106,106,3622374,4111753,88.1
107,107,3649498,4131338,88.34
108,108,4095590,4112608,99.59
109,109,3981335,4090885,97.32
110,110,3492185,4039891,86.44
111,111,5799841,4175526,61.1
112,112,4633538,4058225,85.82
113,113,3213491,4018872,79.96
114,114,4538656,4018341,87.05
115,115,3983108,4002560,99.51
116,116,5459084,4015361,64.05
117,117,4055957,3984814,98.21
118,118,3814297,3963251,96.24
119,119,3896825,3897969,99.97
120,120,3352270,3872015,86.58
121,121,4620975,3849700,79.97
122,122,3673279,3871214,94.89
123,123,6165458,3849129,39.82
124,124,3975283,3749034,93.97
125,125,3340135,3728439,89.59
126,126,1687591,3689325,45.74
127,127,2672750,3653238,73.16
128,128,4819741,3711224,70.13
129,129,3274205,3611166,90.67
130,130,4735053,3587182,68.0
131,131,2347943,3579666,65.59
132,132,3146806,3496526,90.0
133,133,3936597,3566852,89.63
134,134,2872984,3513137,81.78
135,135,3394861,3460212,98.11
136,136,3295874,3450305,95.52
137,137,2718214,3429640,79.26
138,138,2728953,3436092,79.42
139,139,3109220,3418403,90.96
140,140,2983737,3350311,89.06
141,141,3919615,3330326,82.31
142,142,4029115,3379762,80.79
143,143,2357922,3396313,69.43
144,144,2839840,3324874,85.41
145,145,4294527,3317196,70.54
146,146,2722160,3280993,82.97
147,147,3207616,3273879,97.98
148,148,2578130,3248904,79.35
149,149,3576043,3240370,89.64
150,150,2351893,3227647,72.87
151,151,3069742,3130046,98.07
152,152,2906325,3125069,93.0
153,153,3736723,3117859,80.15
154,154,3668671,3100113,81.66
155,155,3544200,3018154,82.57
156,156,2974209,3024666,98.33
157,157,3638004,3049894,80.72
158,158,3357358,3044859,89.74
159,159,3019884,3039889,99.34
160,160,2235993,2985556,74.89
161,161,3161682,2979805,93.9
162,162,3394667,3004649,87.02
163,163,3369120,2957736,86.09
164,164,2765964,3009406,91.91
165,165,3134723,3000115,95.51
166,166,2534884,2982230,85.0
167,167,2903928,2971475,97.73
168,168,5247036,2963652,22.95
169,169,1719713,2934795,58.6
170,170,2925220,2945151,99.32
171,171,3122246,2938818,93.76
172,172,3184266,2931897,91.39
173,173,2460381,2869938,85.73
174,174,3656960,3019960,78.91
175,175,2407858,2858750,84.23
176,176,2974718,2860786,96.02
177,177,2936285,2841828,96.68
178,178,2883387,2847340,98.73
179,179,2930557,2836774,96.69
180,180,3118230,2818993,89.38
181,181,2836767,2812427,99.13
182,182,2626776,2853500,92.05
183,183,2927546,2801949,95.52
184,184,3770471,2792705,64.99
185,185,2405674,2773794,86.73
186,186,3856129,2723028,58.39
187,187,2706841,2744413,98.63
188,188,2715394,2735721,99.26
189,189,2662255,2684798,99.16
190,190,2253576,2722574,82.77
191,191,2981657,2729827,90.77
192,192,3241160,2718237,80.76
193,193,2638396,2718158,97.07
194,194,3039350,2694436,87.2
195,195,2276583,2665886,85.4
196,196,2350569,2642483,88.95
197,197,3033690,2675618,86.62
198,198,2711402,2711094,99.99
199,199,3386016,2658589,72.64
200,200,2585629,2654817,97.39
201,201,3402783,2625686,70.4
202,202,2361023,2625636,89.92
203,203,1360658,2636385,51.61
204,204,2910333,2614601,88.69
205,205,3096553,2611966,81.45
206,206,2254509,2571814,87.66
207,207,2213362,2601761,85.07
208,208,2627622,2601572,99.0
209,209,2273165,2595625,87.58
210,210,3311500,2594420,72.36
211,211,2035451,2554960,79.67
212,212,2676550,2588628,96.6
213,213,2586031,2564340,99.15
214,214,2952510,2539113,83.72
215,215,3160183,2534979,75.34
216,216,3096722,2537438,77.96
217,217,2307146,2520700,91.53
218,218,3193092,2515501,73.06
219,219,2723996,2475797,89.97
220,220,2538892,2452245,96.47
