,index,prediction,realValue,accuracy
199,199,2779006,2658589,95.47
200,200,2709301,2654817,97.95
201,201,2616174,2625686,99.64
202,202,2523174,2625636,96.1
203,203,2504097,2636385,94.98
204,204,2508258,2614601,95.93
205,205,2570574,2611966,98.42
206,206,2593846,2571814,99.14
207,207,2525176,2601761,97.06
208,208,2767643,2601572,93.62
209,209,2510317,2595625,96.71
210,210,2217000,2594420,85.45
211,211,2539936,2554960,99.41
212,212,2649994,2588628,97.63
213,213,2548181,2564340,99.37
214,214,2476400,2539113,97.53
215,215,2318886,2534979,91.48
216,216,2706198,2537438,93.35
217,217,2518533,2520700,99.91
218,218,2723370,2515501,91.74
219,219,2536102,2475797,97.56
220,220,1704523,2452245,69.51
221,221,2534302,2436884,96.0
222,222,2505679,2434435,97.07
223,223,2524221,2444180,96.73
224,224,2555383,2421197,94.46
225,225,2366200,2393103,98.88
226,226,2491050,2394487,95.97
227,227,2053974,2359061,87.07
228,228,2176660,2376266,91.6
229,229,2218180,2368267,93.66
230,230,2320027,2367942,97.98
231,231,2293087,2359273,97.19
232,232,2299435,2342579,98.16
233,233,2596130,2541603,97.85
234,234,2332805,2318748,99.39
235,235,2259121,2310206,97.79
236,236,2203974,2308646,95.47
237,237,2378535,2299751,96.57
238,238,2345760,2282744,97.24
239,239,2186586,2243484,97.46
240,240,2196364,2262758,97.07
241,241,2229205,2224118,99.77
242,242,2179668,2292172,95.09
243,243,2108359,2256913,93.42
244,244,2378540,2254236,94.49
245,245,2359848,2241687,94.73
246,246,2357661,2239156,94.71
247,247,2056225,2206948,93.17
248,248,2184077,2242510,97.39
249,249,2194199,2184425,99.55
250,250,2126483,2205160,96.43
251,251,1792145,2202509,81.37
252,252,2251338,2192525,97.32
253,253,2297599,2192276,95.2
254,254,2200563,2147012,97.51
255,255,2203099,2182227,99.04
256,256,2374077,2260512,94.98
257,257,2112103,2165401,97.54
258,258,2246089,2130645,94.58
259,259,2236450,2135509,95.27
260,260,2247796,2142670,95.09
261,261,2320858,2138425,91.47
262,262,2235098,2141155,95.61
263,263,2282287,2108561,91.76
264,264,2112496,2069546,97.92
265,265,2168149,2095592,96.54
266,266,2038462,2084482,97.79
267,267,2087612,2084868,99.87
268,268,2032262,2067538,98.29
269,269,2014925,2080445,96.85
270,270,1925389,2078825,92.62
271,271,2465152,2169109,86.35
272,272,1896621,2058616,92.13
273,273,2268362,2057896,89.77
274,274,1921167,2051315,93.66
275,275,2520286,2051277,77.14
276,276,2002296,2026594,98.8
277,277,2110859,2007665,94.86
278,278,2039187,1970823,96.53
279,279,1924243,1972440,97.56
280,280,2079943,1980050,94.96
281,281,1945380,1974893,98.51
282,282,2127481,1933467,89.97
283,283,1836091,1906687,96.3
284,284,1829096,1934270,94.56
285,285,1957187,1928605,98.52
286,286,1932038,1925154,99.64
287,287,1874226,1901731,98.55
288,288,1920375,1892467,98.53
289,289,1608871,1898220,84.76
290,290,1936584,1891993,97.64
291,291,1825082,1887733,96.68
292,292,1789729,1846180,96.94
293,293,1721565,1843404,93.39
294,294,1839817,1865354,98.63
295,295,1863980,1867849,99.79
296,296,1951035,2006561,97.23
297,297,2141099,1872682,85.67
298,298,2136612,1855917,84.88
299,299,1930684,1855489,95.95
300,300,1921334,1854711,96.41
301,301,1866789,1817069,97.26
302,302,1902774,1831741,96.12
303,303,1710019,1820842,93.91
304,304,1808179,1778843,98.35
305,305,1690693,1784165,94.76
306,306,1829969,1790916,97.82
307,307,1716682,1799447,95.4
308,308,1804179,1786386,99.0
309,309,1703799,1747305,97.51
310,310,1742993,1766285,98.68
311,311,1941236,1764233,89.97
312,312,1782499,1762742,98.88
313,313,1628971,1762071,92.45
314,314,1728599,1744213,99.1
315,315,1851837,1744585,93.85
316,316,1544588,1755181,88.0
317,317,1950517,1730773,87.3
318,318,1683739,1726227,97.54
319,319,1663370,1721772,96.61
320,320,1626709,1721611,94.49
321,321,1676857,1717566,97.63
322,322,1841368,1716455,92.72
323,323,1709177,1716438,99.58
324,324,2031427,1711266,81.29
325,325,1883106,1715370,90.22
326,326,1730500,1706495,98.59
327,327,1645735,1694562,97.12
328,328,1722692,1670652,96.89
329,329,1735602,1689717,97.28
330,330,1761924,1665268,94.2
331,331,1854428,1676040,89.36
332,332,1509559,1675819,90.08
333,333,1660955,1661388,99.97
334,334,1768610,1648110,92.69
335,335,1667173,1646142,98.72
336,336,1257944,1649407,76.27
337,337,1732303,1635003,94.05
338,338,1506757,1635088,92.15
339,339,1601069,1623518,98.62
340,340,1592253,1622015,98.17
341,341,1667282,1600856,95.85
342,342,1640640,1619651,98.7
343,343,1713565,1612554,93.74
344,344,1290869,1624601,79.46
345,345,1624367,1607555,98.95
346,346,1602604,1570681,97.97
347,347,1675471,1593694,94.87
348,348,1599233,1593116,99.62
349,349,1582556,1634734,96.81
350,350,1111823,1576492,70.53
351,351,1564465,1572064,99.52
352,352,1227703,1546132,79.4
353,353,1616520,1544486,95.34
354,354,1885476,1589048,81.35
355,355,1590322,1552055,97.53
356,356,1557802,1532632,98.36
357,357,1375862,1517096,90.69
358,358,1486216,1518188,97.89
359,359,1590744,1515356,95.03
360,360,1521723,1515104,99.56
361,361,1669862,1511845,89.55
362,362,1495908,1507084,99.26
363,363,1474097,1504888,97.95
364,364,1514521,1500830,99.09
365,365,1852187,1479859,74.84
366,366,1518708,1459973,95.98
367,367,1482082,1468903,99.1
368,368,1591522,1472147,91.89
369,369,1528176,1492903,97.64
370,370,1505950,1475582,97.94
371,371,1444744,1462561,98.78
372,372,1403665,1457406,96.31
373,373,1474399,1445248,97.98
374,374,1610299,1441990,88.33
375,375,1401891,1439506,97.39
376,376,1464735,1438056,98.14
377,377,1441395,1430885,99.27
378,378,1395413,1422844,98.07
379,379,1444600,1383867,95.61
380,380,1358016,1395498,97.31
381,381,1537336,1402816,90.41
382,382,1250430,1400397,89.29
383,383,1144843,1397526,81.92
384,384,1362808,1371164,99.39
385,385,1552401,1387779,88.14
386,386,1372991,1387562,98.95
387,387,1432448,1382650,96.4
388,388,1491297,1385515,92.37
389,389,1399097,1373873,98.16
390,390,1423020,1373316,96.38
391,391,1319177,1362634,96.81
392,392,1442300,1362114,94.11
393,393,1377436,1361273,98.81
394,394,1170465,1346754,86.91
395,395,1355437,1346511,99.34
396,396,1313492,1332819,98.55
397,397,1309302,1340149,97.7
398,398,1263199,1338411,94.38
399,399,1497313,1329061,87.34
400,400,1319430,1330183,99.19
401,401,1346199,1321751,98.15
402,402,1345852,1308810,97.17
403,403,1265752,1327755,95.33
404,404,1369241,1315735,95.93
405,405,1361021,1344319,98.76
406,406,1595627,1310895,78.28
407,407,1299659,1307873,99.37
408,408,1227951,1311118,93.66
409,409,1309940,1307226,99.79
410,410,1301424,1306438,99.62
411,411,1130356,1280734,88.26
412,412,1089731,1278894,85.21
413,413,1285504,1262858,98.21
414,414,1324877,1277690,96.31
415,415,1239921,1230470,99.23
416,416,1337843,1246185,92.64
417,417,1166664,1238064,94.23
418,418,1184286,1214237,97.53
419,419,1107722,1231261,89.97
420,420,1378357,1208310,85.93
421,421,1296404,1243065,95.71
422,422,1217607,1221427,99.69
423,423,1170388,1211890,96.58
424,424,1159981,1219637,95.11
425,425,1337895,1214839,89.87
426,426,971807,1190008,81.66
427,427,1206440,1207732,99.89
428,428,1246706,1208081,96.8
429,429,1186014,1187684,99.86
430,430,1171762,1209363,96.89
431,431,1255778,1202384,95.56
432,432,1146813,1201944,95.41
433,433,1011791,1204600,83.99
434,434,1234327,1201457,97.26
435,435,1189386,1194239,99.59
436,436,1151913,1172586,98.24
437,437,1189482,1177438,98.98
438,438,1141453,1181332,96.62
439,439,1246495,1169839,93.45
440,440,1195655,1168782,97.7
441,441,1394677,1175737,81.38
442,442,1171449,1166025,99.53
443,443,1170231,1163274,99.4
444,444,1240757,1166151,93.6
445,445,1266170,1160021,90.85
446,446,1171520,1169562,99.83
447,447,1161523,1157472,99.65
448,448,1158600,1153201,99.53
449,449,1122120,1149628,97.61
450,450,1104793,1125154,98.19
451,451,1157832,1134364,97.93
452,452,1172413,1141222,97.27
453,453,1256453,1122225,88.04
454,454,1167805,1129609,96.62
455,455,1099922,1127329,97.57
456,456,1044928,1106899,94.4
457,457,1166102,1128288,96.65
458,458,1093652,1112238,98.33
459,459,1118863,1118258,99.95
460,460,1139462,1085447,95.02
461,461,1183798,1111284,93.47
462,462,1189950,1110523,92.85
463,463,1091641,1110274,98.32
464,464,1114203,1101678,98.86
465,465,1061388,1081752,98.12
466,466,1183967,1068004,89.14
467,467,1032455,1077238,95.84
468,468,1112104,1081096,97.13
469,469,997208,1075333,92.73
470,470,1045273,1067707,97.9
471,471,1093794,1069864,97.76
472,472,1025320,1047062,97.92
473,473,1073522,1063442,99.05
474,474,1060285,1059350,99.91
475,475,1012248,1044659,96.9
476,476,1096873,1032792,93.8
477,477,1112534,1043602,93.39
478,478,1076430,1046313,97.12
479,479,1074645,1048280,97.48
480,480,1009420,1027050,98.28
481,481,1068056,1051257,98.4
482,482,947361,1025302,92.4
483,483,1123383,1012310,89.03
484,484,1033036,1028384,99.55
485,485,1034954,1027782,99.3
486,486,988256,1027436,96.19
487,487,1008173,1019309,98.91
488,488,1000261,1015832,98.47
489,489,987837,1007729,98.03
490,490,1082546,1025243,94.41
491,491,967695,990223,97.73
492,492,1033448,1014595,98.14
493,493,1043314,1003406,96.02
494,494,1052198,999030,94.68
495,495,985255,991417,99.38
496,496,951652,990111,96.12
497,497,802484,972431,82.52
