,index,prediction,realValue,accuracy
0,0,17492191,17615166,99.3
1,1,14357839,14410931,99.63
2,2,14150753,14262636,99.22
3,3,11506681,13338087,86.27
4,4,13570287,13414200,98.84
5,5,13222916,12983841,98.16
6,6,12783962,12811435,99.79
7,7,13072490,12706663,97.12
8,8,10403458,12323595,84.42
9,9,12195423,12189195,99.95
10,10,11525450,11566862,99.64
11,11,11380871,11324561,99.5
12,12,10679694,11374879,93.89
13,13,10642142,10494499,98.59
14,14,11072057,10296101,92.46
15,15,10192297,10309432,98.86
16,16,9788468,9707581,99.17
17,17,9023464,9135806,98.77
18,18,8865278,9001331,98.49
19,19,8978004,9350351,96.02
20,20,8846965,8677249,98.04
21,21,8718417,8659725,99.32
22,22,8385125,8666208,96.76
23,23,7979110,8035181,99.3
24,24,5965192,8223342,72.54
25,25,8302390,7817618,93.8
26,26,7123291,7785189,91.5
27,27,7743489,7759761,99.79
28,28,7339583,7508976,97.74
29,29,6989354,7393443,94.53
30,30,7401662,7500457,98.68
31,31,6349240,7470633,84.99
32,32,5106142,7363139,69.35
33,33,6869493,7258678,94.64
34,34,7478637,7231770,96.59
35,35,7210026,7166532,99.39
36,36,7326736,7150586,97.54
37,37,7301441,7120780,97.46
38,38,7403231,7074891,95.36
39,39,7285656,7072507,96.99
40,40,6953736,7050475,98.63
41,41,7102088,6975571,98.19
42,42,6886407,6959083,98.96
43,43,7370794,6879989,92.87
44,44,6920456,6880535,99.42
45,45,6362184,6686054,95.16
46,46,7271568,6655068,90.74
47,47,6519252,6592151,98.89
48,48,6563229,6399303,97.44
49,49,6213343,6178617,99.44
50,50,6062325,6247651,97.03
51,51,6126075,6065474,99.0
52,52,6148493,6126488,99.64
53,53,5765277,6129681,94.06
54,54,6649362,6044956,90.0
55,55,5964787,5835017,97.78
56,56,5954810,5920977,99.43
57,57,5835831,5653270,96.77
58,58,5554084,5604106,99.11
59,59,5647572,5599665,99.14
60,60,5786318,5584139,96.38
61,61,5748362,5546823,96.37
62,62,5700839,5416829,94.76
63,63,6173549,5508299,87.92
64,64,5297922,5397597,98.15
65,65,5369417,5446379,98.59
66,66,5319543,5443049,97.73
67,67,5352856,5399070,99.14
68,68,5187743,5317693,97.56
69,69,4877803,5311353,91.84
70,70,5253885,5295836,99.21
71,71,11447240,11206127,97.85
72,72,5541147,5237525,94.2
73,73,5118476,5181014,98.79
74,74,4922825,5138328,95.81
75,75,4669946,5046096,92.55
76,76,4889424,5064796,96.54
77,77,5008242,4969735,99.23
78,78,4918465,4945484,99.45
79,79,4919421,4909950,99.81
80,80,5123195,4881865,95.06
81,81,4580361,4857152,94.3
82,82,4637532,4853273,95.55
83,83,5404414,4801873,87.45
84,84,4922115,4786259,97.16
85,85,4598011,4775811,96.28
86,86,4728982,4720050,99.81
87,87,3414588,4706158,72.56
88,88,4581903,4699307,97.5
89,89,4779457,4682492,97.93
90,90,4625879,4654266,99.39
91,91,4404554,4667179,94.37
92,92,4634168,4662926,99.38
93,93,4274421,4598985,92.94
94,94,4726042,4584800,96.92
95,95,4330158,4499776,96.23
96,96,3964496,4578239,86.59
97,97,4288501,4515833,94.97
98,98,4412516,4425003,99.72
99,99,4412474,4452755,99.1
100,100,4335680,4421210,98.07
101,101,4414956,4300365,97.34
102,102,4506227,4313871,95.54
103,103,4584143,4313102,93.72
104,104,4428062,4288750,96.75
105,105,4088103,4168353,98.07
106,106,4375360,4111753,93.59
107,107,4470113,4131338,91.8
108,108,3645079,4112608,88.63
109,109,3871617,4090885,94.64
110,110,4291869,4039891,93.76
111,111,4487890,4175526,92.52
112,112,4202004,4058225,96.46
113,113,4238057,4018872,94.55
114,114,3777801,4018341,94.01
115,115,3697463,4002560,92.38
116,116,4023178,4015361,99.81
117,117,3998780,3984814,99.65
118,118,4032709,3963251,98.25
119,119,3698875,3897969,94.89
120,120,3791977,3872015,97.93
121,121,3853868,3849700,99.89
122,122,3795601,3871214,98.05
123,123,3896348,3849129,98.77
124,124,3650803,3749034,97.38
125,125,3761541,3728439,99.11
126,126,3613648,3689325,97.95
127,127,3503878,3653238,95.91
128,128,3752945,3711224,98.88
129,129,3770092,3611166,95.6
130,130,3587556,3587182,99.99
131,131,3305546,3579666,92.34
132,132,3314797,3496526,94.8
133,133,3537597,3566852,99.18
134,134,3626945,3513137,96.76
135,135,3750397,3460212,91.61
136,136,3786392,3450305,90.26
137,137,2703659,3429640,78.83
138,138,3865222,3436092,87.51
139,139,3476698,3418403,98.29
140,140,3398630,3350311,98.56
141,141,3900903,3330326,82.87
142,142,3179142,3379762,94.06
143,143,3919028,3396313,84.61
144,144,3398971,3324874,97.77
145,145,3304191,3317196,99.61
146,146,3345803,3280993,98.02
147,147,3683548,3273879,87.49
148,148,3082051,3248904,94.86
149,149,3091581,3240370,95.41
150,150,3231668,3227647,99.88
151,151,2940444,3130046,93.94
152,152,3462945,3125069,89.19
153,153,3028209,3117859,97.12
154,154,3060755,3100113,98.73
155,155,2920219,3018154,96.76
156,156,3068704,3024666,98.54
157,157,3015412,3049894,98.87
158,158,3022671,3044859,99.27
159,159,3065567,3039889,99.16
160,160,2925430,2985556,97.99
161,161,2901310,2979805,97.37
162,162,2920733,3004649,97.21
163,163,2817115,2957736,95.25
164,164,3074496,3009406,97.84
165,165,3040273,3000115,98.66
166,166,3027774,2982230,98.47
167,167,2972902,2971475,99.95
168,168,3107635,2963652,95.14
169,169,1180941,2934795,40.24
170,170,3087437,2945151,95.17
171,171,2776880,2938818,94.49
172,172,2917612,2931897,99.51
173,173,2780252,2869938,96.87
174,174,3206439,3019960,93.83
175,175,2787717,2858750,97.52
176,176,2874619,2860786,99.52
177,177,2886717,2841828,98.42
178,178,2743132,2847340,96.34
179,179,3005850,2836774,94.04
180,180,2728326,2818993,96.78
181,181,2870174,2812427,97.95
182,182,2684354,2853500,94.07
183,183,2678506,2801949,95.59
184,184,2766461,2792705,99.06
185,185,3376241,2773794,78.28
186,186,2783265,2723028,97.79
187,187,2537410,2744413,92.46
188,188,2640548,2735721,96.52
189,189,2670382,2684798,99.46
190,190,2515314,2722574,92.39
191,191,2897697,2729827,93.85
192,192,2547101,2718237,93.7
193,193,2643525,2718158,97.25
194,194,2610624,2694436,96.89
195,195,2728521,2665886,97.65
196,196,2647107,2642483,99.82
197,197,2580878,2675618,96.46
198,198,2681639,2711094,98.91
199,199,2563683,2658589,96.43
200,200,2767900,2654817,95.74
201,201,2730159,2625686,96.02
202,202,2654175,2625636,98.91
203,203,2770382,2636385,94.92
204,204,2535839,2614601,96.99
205,205,2576295,2611966,98.63
206,206,2546465,2571814,99.01
207,207,3136156,2601761,79.46
208,208,2508674,2601572,96.43
209,209,2619057,2595625,99.1
210,210,2556796,2594420,98.55
211,211,2439049,2554960,95.46
212,212,2438727,2588628,94.21
213,213,2629262,2564340,97.47
214,214,2418553,2539113,95.25
215,215,2605057,2534979,97.24
216,216,2637399,2537438,96.06
217,217,2623091,2520700,95.94
218,218,2457005,2515501,97.67
219,219,2571287,2475797,96.14
220,220,2358334,2452245,96.17
221,221,2363027,2436884,96.97
222,222,2254639,2434435,92.61
223,223,2424308,2444180,99.19
224,224,2298949,2421197,94.95
225,225,2400240,2393103,99.7
226,226,2324292,2394487,97.07
227,227,2142183,2359061,90.81
228,228,2473724,2376266,95.9
229,229,2299405,2368267,97.09
230,230,2498790,2367942,94.47
231,231,2284027,2359273,96.81
232,232,2422408,2342579,96.59
233,233,2535435,2541603,99.76
234,234,2341575,2318748,99.02
235,235,2558939,2310206,89.23
236,236,2173638,2308646,94.15
237,237,2265466,2299751,98.51
238,238,2264611,2282744,99.21
239,239,2401659,2243484,92.95
240,240,2227617,2262758,98.45
241,241,2149817,2224118,96.66
242,242,2267452,2292172,98.92
243,243,2247918,2256913,99.6
244,244,2292640,2254236,98.3
245,245,2097036,2241687,93.55
246,246,2450910,2239156,90.54
247,247,2173357,2206948,98.48
248,248,2228252,2242510,99.36
249,249,2120630,2184425,97.08
250,250,2314016,2205160,95.06
251,251,2181907,2202509,99.06
252,252,2156960,2192525,98.38
253,253,2114014,2192276,96.43
254,254,2206864,2147012,97.21
255,255,2131821,2182227,97.69
256,256,2191194,2260512,96.93
257,257,2175139,2165401,99.55
258,258,2093120,2130645,98.24
259,259,2121310,2135509,99.34
260,260,2090512,2142670,97.57
261,261,2009128,2138425,93.95
262,262,2241417,2141155,95.32
263,263,2043551,2108561,96.92
264,264,1949522,2069546,94.2
265,265,2039816,2095592,97.34
266,266,2113330,2084482,98.62
267,267,2149390,2084868,96.91
268,268,2350566,2067538,86.31
269,269,2126373,2080445,97.79
270,270,2103946,2078825,98.79
271,271,2132677,2169109,98.32
272,272,2154116,2058616,95.36
273,273,2169532,2057896,94.58
274,274,1999749,2051315,97.49
275,275,1952076,2051277,95.16
276,276,1943300,2026594,95.89
277,277,1986795,2007665,98.96
278,278,1947011,1970823,98.79
279,279,1711212,1972440,86.76
280,280,1979911,1980050,99.99
281,281,1923050,1974893,97.37
282,282,1759077,1933467,90.98
283,283,1957894,1906687,97.31
284,284,1900540,1934270,98.26
285,285,1950601,1928605,98.86
286,286,1959343,1925154,98.22
287,287,2081209,1901731,90.56
288,288,1952159,1892467,96.85
289,289,1894901,1898220,99.83
290,290,1847605,1891993,97.65
291,291,2099067,1887733,88.8
292,292,1639094,1846180,88.78
293,293,1794353,1843404,97.34
294,294,1838969,1865354,98.59
295,295,1863782,1867849,99.78
296,296,1970061,2006561,98.18
297,297,1905291,1872682,98.26
298,298,1784282,1855917,96.14
299,299,1876674,1855489,98.86
300,300,1749679,1854711,94.34
301,301,1916013,1817069,94.55
302,302,1802641,1831741,98.41
303,303,1762497,1820842,96.8
304,304,1828779,1778843,97.19
305,305,1664639,1784165,93.3
306,306,1799070,1790916,99.54
307,307,1749296,1799447,97.21
308,308,1769365,1786386,99.05
309,309,1746074,1747305,99.93
310,310,1721428,1766285,97.46
311,311,1784518,1764233,98.85
312,312,1758315,1762742,99.75
313,313,1741694,1762071,98.84
314,314,1706073,1744213,97.81
315,315,1657771,1744585,95.02
316,316,1769029,1755181,99.21
317,317,1761797,1730773,98.21
318,318,1661259,1726227,96.24
319,319,1583264,1721772,91.96
320,320,1669542,1721611,96.98
321,321,1751439,1717566,98.03
322,322,1614387,1716455,94.05
323,323,1862554,1716438,91.49
324,324,1638122,1711266,95.73
325,325,1817355,1715370,94.05
326,326,1664292,1706495,97.53
327,327,1587551,1694562,93.69
328,328,1687246,1670652,99.01
329,329,1592205,1689717,94.23
330,330,1591854,1665268,95.59
331,331,1600652,1676040,95.5
332,332,1610894,1675819,96.13
333,333,1593333,1661388,95.9
334,334,1647719,1648110,99.98
335,335,1582907,1646142,96.16
336,336,1303200,1649407,79.01
337,337,1626500,1635003,99.48
338,338,1687212,1635088,96.81
