,distributor,distributor_score
0,cineguru,2.6
1,cjenm,5.771428571428571
2,isu,2.1481481481481484
3,littlebig,2.1176470588235294
4,lotte,4.299516908212561
5,megabox,4.666666666666667
6,next,4.959349593495935
7,opus,3.7142857142857144
8,other_company,2.5317460317460316
9,pancine,3.0
10,showbox,7.051546391752577
11,sony,4.594594594594595
12,twentieth_century_fox,4.612612612612613
13,universal,3.8487394957983194
14,walt_disney,7.535714285714286
15,warnerbros,5.14
16,wowpictures,4.666666666666667
