,prdtYear,prdtYear_score
0,2002,2.0
1,2003,2.0
2,2004,2.0
3,2005,2.5
4,2006,2.0
5,2007,3.3142857142857145
6,2008,4.20125786163522
7,2009,3.813953488372093
8,2010,3.7513513513513512
9,2011,4.0
10,2012,4.7924528301886795
11,2013,4.993630573248407
12,2014,4.541436464088398
13,2015,4.385964912280702
14,2016,4.340909090909091
15,2017,4.7272727272727275
16,2018,5.75
