,openDt,openDt_score
0,apr,4.03921568627451
1,aug,4.466666666666667
2,dec,5.180722891566265
3,feb,3.5157894736842104
4,jan,4.305882352941176
5,jul,5.955882352941177
6,jun,4.483870967741935
7,mar,3.4304635761589406
8,may,4.559322033898305
9,nov,3.9571428571428573
10,oct,3.7315436241610738
11,sep,4.143790849673203
