,repNationNm,repNationNm_score
0,India,2.3333333333333335
1,america,4.203931203931204
2,china,2.3255813953488373
3,europe,2.491228070175439
4,japan,2.2706766917293235
5,korea,5.559543230016313
6,other_asia,2.0
7,other_nation,2.1538461538461537
