,director,director_score
284,류장하,4
285,류정우,2
286,류훈,2
287,리 다니엘스,2
288,리 언크리치,16
289,리 워넬,4
290,리들리 스콧,44
291,리사 촐로덴코,2
292,리샤르 베리,2
293,리차드 라그라브네스,4
294,리차드 링클레이터,4
295,리차드 커티스,10
296,리처드 글랫저,2
297,리치 무어,4
298,마누엘 시실라,2
299,마누엘 시실리아,2
300,마누크 데포얀,2
301,마르셀 랭겐거,2
302,마브룩 엘 메크리,2
303,마샤유키,2
304,마스이 소이치,4
305,마시 태지딘,2
306,마이크 뉴웰,6
307,마이크 니콜스,2
308,마이크 디사,2
309,마이크 맥코이,2
310,마이크 미첼,16
311,마이크 트메이어,4
312,마이크 플래너건,4
313,마이클 J.버세트,2
314,마이클 그레이시,6
315,마이클 만,2
316,마이클 베이,60
317,마이클 수치,2
318,마이클 스피어리그,4
319,마이클 앱티드,8
320,마이클 윈터바텀,2
321,마이클 쿠에스타,2
322,마이클 패트릭 킹,8
323,마이클 헤그너,2
324,마이클 헤트너,2
325,마이클 호프만,2
326,마초성,2
327,마츠오카 조지,2
328,마커스 니스펠,2
329,마크 A.Z. 디페,4
330,마크 S. 워터스,4
331,마크 네빌딘,2
332,마크 레빈,4
333,마크 로렌스,2
334,마크 버튼,2
335,마크 쉬홀르만 ,2
336,마크 앤드류스,6
337,마크 오스본,16
338,마크 워터스,4
339,마크 웹,26
340,마크 팔란스키,2
341,마크 포스터,22
342,마티유 카소비츠,2
343,마틴 맥도나,4
344,마틴 스콜세지,12
345,마틴 캠벨,4
346,만스 말린드,2
347,매튜 본,38
348,매티스 반 헤이닌겐 주니어,2
349,맥스 기와,2
350,맥조휘,2
351,맥지,18
352,맷 리브스,26
353,멜 깁슨,2
354,모로타 사토시,2
355,모리와키 마코토,2
356,모튼 틸덤,10
357,모홍진,4
358,무토우 유지,2
359,문제용,2
360,문현성,12
361,미셀 하자나비시우스,2
362,미셸 공드리,2
363,미야모토 히로아키,2
364,미야오 요시카즈,4
365,미야자키 고로,2
366,미야자키 하야오,8
367,미츠나카 스스무,4
368,미카엘 하네케,2
369,미카엘 하프스트롬,6
370,미키 타카히로,2
371,민규동,26
372,바랫 낼러리,2
373,바박 나자피,4
374,바비 패럴리,2
375,바이론 하워드,16
376,바즈 루어만,10
377,바트 프룬디치,2
378,박건용,8
379,박광우,2
380,박광춘,4
381,박광현,8
382,박규택,2
