,actor,final_audience_y
1127,브래드 윌리엄 헨크,6.0
1128,브래드 피트,50.0
1129,브래들리 쿠퍼,38.0
1130,브래들리 휘트포드,8.0
1131,브랜든 T. 잭슨,4.0
1132,브렌단 글리슨,12.0
1133,브렌든 프레이저,26.0
1134,브렌튼 스웨이츠,20.0
1135,브루노 캄포스,2.0
1136,브루스 그린우드,2.0
1137,브루스 윌리스,38.0
1138,브룩클린 데커,8.0
1139,브리 라슨,8.0
1140,브리아나 에비건,12.0
1141,브리아나 힐데브란드,10.0
1142,브리짓 모나핸,8.0
1143,브리타니 다니엘,4.0
1144,브릿 로버트슨,2.0
1145,브릿 쇼,2.0
1146,블레이크 라이블리,8.0
1147,블레이크 제너,2.0
1148,비 방,2.0
1149,비고 모텐슨,2.0
1150,비비카 A. 폭스,6.0
1151,비올라 데이비스,6.0
1152,비욘세 놀즈,4.0
1153,빅토리아,2.0
1154,빈 디젤,58.0
1155,빈센트 도노프리오,20.0
1156,빌 나이,28.0
1157,빌 머레이,12.0
1158,빌 스카스가드,4.0
1159,빌 팩스톤,14.0
1160,빌 풀만,8.0
1161,빌 헤이더,34.0
1162,빌리 버크,2.0
1163,빌리 코놀리,6.0
1164,빌리 크루덥,12.0
1165,빌리 크리스탈,4.0
1166,빙 라메스,8.0
1167,사나다 히로유키,6.0
1168,사라 라이트,2.0
1169,사라 로머,2.0
1170,사라 미셀 겔러,2.0
1171,사라 볼거,4.0
1172,사라 스누크,4.0
1173,사라 웨인 콜리스,10.0
1174,사라 제시카 파커,12.0
1175,사라 팩스톤,4.0
1176,사라 폴리,2.0
1177,사라 폴슨,4.0
1178,사만다 모튼,16.0
1179,사무엘 L. 잭슨,68.0
1180,사문영,10.0
1181,사사키 노조미,4.0
1182,사우,2.0
1183,사이먼 베이커,2.0
1184,사이먼 페그,56.0
1185,사이토 아야카,2.0
1186,사정봉,2.0
1187,사챠 바론 코헨,4.0
1188,사카구치 켄타로,2.0
1189,사카모토 마아야,2.0
1190,사카이 마사토,2.0
1191,사쿠라바 나나미,2.0
1192,사크릿 얌냠,2.0
1193,사토 리카,2.0
1194,사토 타케루,2.0
1195,산드라 블록,22.0
1196,산야 말호트라,2.0
1197,산페이 유코,2.0
1198,살림 케치우셰,2.0
1199,샐리 필드,14.0
1200,샐리 헤닝,2.0
1201,샐리 호킨스,10.0
1202,샘 닐,4.0
1203,샘 러너,2.0
1204,샘 록웰,4.0
1205,샘 오취리,2.0
1206,샘 워싱턴,62.000000000000014
1207,샘 클라플린,6.0
1208,샤니 빈슨,4.0
1209,샤니 스미스,2.0
1210,샤룩 칸,2.0
1211,샤를로뜨 갱스부르,2.0
1212,샤를리즈 테론,44.0
1213,샤무스 데이비 피츠패트릭,2.0
1214,샤이아 라보프,70.0
1215,샤키라,12.0
1216,샬롯 라일리,4.0
1217,샬롯 램플링,2.0
1218,샬롯 르 본,4.0
1219,샬토 코플리,18.0
1220,샹탈 로비,2.0
1221,서광재,2.0
1222,서교,8.0
1223,서기,2.0
1224,서동수,12.0
1225,서미지,10.0
1226,서민균,10.0
1227,서민석,4.0
1228,서민지,2.0
1229,서범석,2.0
1230,서성만,2.0
1231,서신애,4.0
1232,서영,4.0
1233,서영제,2.0
1234,서영주,6.0
1235,서영화,10.0
1236,서영희,20.0
1237,서우,6.0
1238,서원석,2.0
1239,서인국,2.0
1240,서재경,2.0
1241,서준영,4.0
1242,서지연,4.0
1243,서태화,2.0
1244,서하늬,6.0
1245,서해림,4.0
1246,서현,10.0
1247,서현우,6.0
1248,서현진,10.0
1249,서현철,4.0
1250,서홍석,2.0
1251,서효림,2.0
1252,서희원,4.0
1253,석승훈,2.0
1254,석정현,8.0
1255,석정호,6.0
1256,선우선,18.0
1257,선우용녀,2.0
1258,선자 손,6.0
1259,설경구,114.00000000000003
1260,설리반 스탭플턴,6.0
1261,설지윤,2.0
1262,설현,16.0
1263,성기욱,4.0
1264,성동명,2.0
1265,성동일,139.99999999999997
1266,성룡,56.0
1267,성병숙,2.0
1268,성상배,4.0
1269,성유리,10.0
1270,성유빈,16.0
1271,성준,10.0
1272,성지루,18.0
1273,성지혜,2.0
1274,세드릭 더 엔터테이너,2.0
1275,세바스찬 냅,2.0
1276,세바스찬 스탠,20.0
1277,세스 로건,22.0
1278,세스 맥팔레인,10.0
1279,세키 토모카즈,2.0
1280,세키네 츠토무,2.0
1281,세토 코지,4.0
1282,세프론 버로우스,4.0
1283,셀레나 고메즈,8.0
1284,셀리아 임리,4.0
1285,셀마 블레어,2.0
1286,셀마 헤이엑,14.0
1287,셔먼 조쉬,2.0
1288,셜리 맥클레인,4.0
1289,셰릴 하인즈,2.0
1290,소메타니 쇼타,6.0
1291,소연,6.0
1292,소이현,2.0
1293,소주영,6.0
1294,소지섭,44.0
1295,소피 맥쉐라,4.0
1296,소피아 릴리스,4.0
1297,소피아 바실리에바,2.0
1298,소피아 베르가라,2.0
1299,소피아 부텔라,12.0
1300,소피아 블랙 디엘리아,2.0
1301,손경구,2.0
1302,손광익,4.0
1303,손민구,2.0
1304,손병호,8.0
1305,손봉수,4.0
1306,손상현,2.0
1307,손세빈,6.0
1308,손소영,4.0
1309,손숙,10.0
1310,손승현,2.0
1311,손예진,90.00000000000001
1312,손은서,8.0
1313,손인용,8.0
1314,손정민,2.0
1315,손정희,4.0
1316,손종우,2.0
1317,손지연,2.0
1318,손태영,2.0
1319,손현수,4.0
1320,손현우,8.0
1321,손현주,56.0
1322,손호승,2.0
1323,손호준,8.0
1324,송강호,174.00000000000003
1325,송길한,2.0
1326,송민정,4.0
1327,송병철,4.0
1328,송상우,2.0
1329,송새벽,30.0
1330,송선미,2.0
1331,송성호,2.0
1332,송수현,2.0
1333,송승헌,22.0
1334,송영창,70.0
1335,송옥숙,2.0
1336,송요셉,10.0
1337,송용진,2.0
1338,송용호,2.0
1339,송운화,2.0
1340,송윤아,8.0
1341,송윤영,2.0
1342,송율규,4.0
1343,송은정,12.0
1344,송재림,2.0
1345,송재호,6.0
1346,송재희,6.0
1347,송준석,2.0
1348,송중기,44.0
1349,송지혜,4.0
1350,송지효,46.0
1351,송창용,2.0
1352,송창의,6.0
1353,송하림,2.0
1354,송하윤,18.0
1355,송혁조,4.0
1356,송현,2.0
1357,송혜교,10.0
1358,송혜진,2.0
1359,숀 로버츠,4.0
1360,숀 빈,8.0
1361,숀 애쉬모어,2.0
1362,숀 패리스,2.0
1363,숀 펜,8.0
1364,수라즈 샤르마,6.0
1365,수애,32.0
1366,수영,4.0
1367,수잔 서랜든,2.0
1368,수잔 클레망,2.0
1369,수지 에스먼,4.0
1370,쉐인 웨스트,2.0
1371,쉐일린 우들리,10.0
1372,쉬판,2.0
1373,슈어나 맥도널드,2.0
1374,슝다이린,4.0
1375,스기사키 하나,4.0
1376,스기야마 노리아키,2.0
1377,스눕 독,6.0
1378,스카티 톰슨,4.0
1379,스칼렛 요한슨,120.0
1380,스캇 스피드맨,2.0
1381,스캔더 킨즈,6.0
1382,스콧 애짓,8.0
1383,스콧 앳킨스,16.0
1384,스콧 이스트우드,22.0
1385,스콧 패터슨,2.0
1386,스쿳 맥네이리,10.0
1387,스탠리 투치,20.0
1388,스털링 제린스,6.0
1389,스테이시 마틴,4.0
1390,스테파니 스콧,4.0
1391,스테파니 시그만,6.0
1392,스테판 머천트,8.0
1393,스텔란 스카스가드,20.0
1394,스튜어트 타운젠드,6.0
1395,스티브 마틴,4.0
1396,스티브 부세미,22.0
1397,스티브 오스틴,2.0
1398,스티브 잔,10.0
1399,스티브 카렐,34.0
1400,스티브 쿠건,8.0
1401,스티븐 랭,6.0
1402,스티븐 볼드윈,2.0
1403,스티븐 스트레이트,6.0
1404,스티븐 아멜,2.0
1405,스티븐 연,4.0
1406,스티븐 캠벨 무어,4.0
1407,스티븐 토보로스키,2.0
1408,스티븐 파스퀄,2.0
1409,스펜서 로크,8.0
1410,승리,4.0
1411,시고니 위버,50.0
1412,시다 미라이,6.0
1413,시드 바벳 크누센,4.0
1414,시릴 라파엘리,4.0
1415,시마자키 노부나가,10.0
1416,시바사키 코우,2.0
1417,시손 쥰,2.0
1418,시아란 힌즈,4.0
1419,시얼샤 로넌,12.0
1420,시에나 길로리,8.0
1421,시에나 밀러,12.0
1422,시영준,4.0
1423,시우민,8.0
1424,시원,2.0
1425,신강우,2.0
1426,신경선,4.0
1427,신구,14.0
1428,신다영,2.0
1429,신다은,8.0
1430,신동미,14.0
1431,신동수,4.0
1432,신동엽,2.0
1433,신동현,2.0
1434,신동훈,10.0
1435,신동희(신동),2.0
1436,신린아,6.0
1437,신명철,4.0
1438,신민섭,2.0
1439,신민아,18.0
1440,신민철,12.0
1441,신봉선,2.0
1442,신상열,4.0
1443,신성록,32.0
1444,신성훈,2.0
1445,신세경,24.0
1446,신소영,2.0
1447,신소율,34.0
1448,신승환,4.0
1449,신시아 닉슨,8.0
1450,신신애(신금애),8.0
1451,신영선,2.0
1452,신영훈,6.0
1453,신용우,18.0
1454,신용철,6.0
1455,신은경,2.0
1456,신은수,4.0
1457,신은정,4.0
1458,신이,8.0
1459,신정근,44.0
1460,신정원,4.0
1461,신정훈,6.0
1462,신정희,2.0
1463,신종민,2.0
1464,신종훈,2.0
1465,신준호,2.0
1466,신지뢰,2.0
1467,신지수,10.0
1468,신지훈,2.0
1469,신창수,16.0
1470,신하균,54.0
1471,신현빈,4.0
1472,신현숙,2.0
1473,신현준,12.0
1474,신현탁,18.0
1475,신혜선,6.0
1476,실베스터 스탤론,10.0
1477,실비아 획스,2.0
1478,심규혁,4.0
1479,심순주,2.0
1480,심은경,106.00000000000001
1481,심은진,2.0
1482,심이영,2.0
1483,심재원,4.0
1484,심지호,10.0
1485,심철민,2.0
1486,심형래,8.0
1487,심형탁,2.0
1488,심혜정,4.0
1489,심혜진,4.0
1490,심호성,10.0
1491,싸이(박재상),2.0
1492,써니,2.0
1493,씨씨 스페이식,2.0
1494,아나 디 아르마스,2.0
1495,아네트 베닝,8.0
1496,아놀드 슈왈제네거,16.0
1497,아담 드라이버,12.0
1498,아담 드바인,14.0
1499,아담 샌들러,16.0
1500,아담 스콧,4.0
1501,아델 에그자르코풀로스,2.0
1502,아드리아 아르조나,6.0
1503,아드리안 알론소,2.0
1504,아락 아몬수파시리,2.0
1505,아론 에크하트,30.0
1506,아론 크렙스,2.0
1507,아론 폴,10.0
1508,아르노 비야르,2.0
1509,아리무라 카스미,2.0
1510,아리아나 그란데,2.0
1511,아리안 라베드,2.0
1512,아리엘 윈터,2.0
1513,아마미 유키,6.0
1514,아만다 라이거티,2.0
1515,아만다 사이프리드,52.0
1516,아만다 피트,14.0
1517,아메리카 페레라,10.0
1518,아미 해머,16.0
1519,아미라 캐사,2.0
1520,아미르 칸,4.0
1521,아미타브 바흐찬,4.0
1522,아베 사다오,2.0
1523,아베 아츠시,2.0
1524,아베 츠요시,2.0
1525,아베 히로시,2.0
1526,아비게일 브레스린,10.0
1527,아사 버터필드,14.0
1528,아사노 타다노부,4.0
1529,아스트리드 베흐제-프리스베,2.0
1530,아야세 하루카,2.0
1531,아우이 크라발호,8.0
1532,아이리스 바,2.0
1533,아이비 조지,2.0
1534,아이쉬와라 라이,2.0
1535,아이유,6.0
1536,아이자와 리나,2.0
1537,아이작 햄스터드 라이트,2.0
1538,아일라 피셔,18.0
1539,안길강,10.0
1540,안나 와게너,2.0
1541,안나 켄드릭,12.0
1542,안나 패리스,8.0
1543,안나 허치슨,2.0
1544,안나소피아 롭,2.0
1545,안내상,6.0
1546,안노 히데아키,2.0
1547,안도규,2.0
1548,안드레 브라우퍼,4.0
1549,안병경,2.0
1550,안서현,6.0
1551,안성기,54.0
1552,안세하,18.0
1553,안셀 엘고트,10.0
1554,안소니 마키,22.0
1555,안소니 홉킨스,48.0
1556,안소희,14.0
1557,안승균,2.0
1558,안야 테일러 조이,6.0
1559,안영미,2.0
1560,안용욱,2.0
1561,안윤상,2.0
1562,안은새,2.0
1563,안장혁,2.0
1564,안재현,4.0
1565,안재홍,24.0
1566,안젤라 랜스베리,4.0
1567,안젤라 바셋,18.0
1568,안젤리나 졸리,66.0
1569,안지걸,2.0
1570,안철호,2.0
1571,안토니-올리버 피론,2.0
1572,안토니오 반데라스,20.0
1573,안톤 옐친,28.000000000000004
1574,안현서,2.0
1575,안혜경,2.0
1576,안혜정,2.0
1577,안효민,4.0
1578,알 파치노,10.0
1579,알디스 호지,4.0
1580,알란 릭맨,4.0
1581,알란 아킨,2.0
1582,알란 커밍,4.0
1583,알란 터딕,8.0
1584,알렉 볼드윈,44.0
1585,알렉사 다바로스,8.0
1586,알렉산더 디퍼시아,6.0
1587,알렉산더 스카스가드,14.0
1588,알렉산더 시디그,2.0
1589,알렉산드라 로치,2.0
1590,알렉산드로 니볼라,2.0
1591,알렉산드리아 다다리오,10.0
1592,알렉세이 구스코프,2.0
1593,알렉스 러셀,2.0
1594,알렉스 로,2.0
1595,알렉스 페티퍼,8.0
1596,알리 라터,4.0
1597,알리스 브라가,10.0
1598,알리슨 로먼,2.0
1599,알리슨 브리,2.0
1600,알리슨 스토너,4.0
1601,알리시아 벨라 베일리,14.0
1602,알리시아 비칸데르,22.0
1603,알리시아 위트,2.0
1604,알버트 브룩스,8.0
1605,알버트 피니,6.0
1606,알프레 우다드,4.0
1607,앙드레 홀랜드,2.0
1608,애나벨 월리스,14.0
1609,애너리즈 바쏘,2.0
1610,애니카 노니 로즈,2.0
1611,애덤 G. 세바니,12.0
1612,애덤 리바인,10.0
1613,애드리안 롤린스,2.0
1614,애드리앤 팰리키,8.0
1615,애드리언 브로디,16.0
1616,애런 존슨,8.0
1617,애비 리,4.0
1618,애비 코니시,14.0
1619,애셔 북,4.0
1620,애쉬튼 커처,12.0
1621,애슐리 벤슨,4.0
1622,애슐리 벨,2.0
1623,애슐리 힌쇼,2.0
1624,앤 도벌,2.0
1625,앤 르니,2.0
1626,앤 해서웨이,90.0
1627,앤 헤이시,2.0
1628,앤-마리 듀프,2.0
1629,앤드류 가필드,32.0
1630,앤드류 라넬스,10.0
1631,앤드리아 리즈브로프,6.0
1632,앤디 가르시아,12.0
1633,앤디 딕,2.0
1634,앤디 샘버그,12.0
1635,앤디 서키스,24.0
1636,앤서니 곤잘레스,10.0
1637,앤슨 마운트,8.0
1638,앨런 리치슨,2.0
1639,앨런 에반젤리스타,2.0
1640,앨런 포드,2.0
1641,앨리스 브라가,2.0
1642,앨리스 앤글레르트,2.0
1643,앨리스 이브,2.0
1644,앨리슨 미칼카,2.0
1645,앨리슨 수돌,12.0
1646,앨리슨 윌리암스,8.0
1647,앨리슨 제니,8.0
1648,앰버 발레타,2.0
1649,야마구치 유리코,2.0
1650,야마구치 캇페이,10.0
1651,야마구치 토모코,6.0
1652,야마다 료스케,2.0
1653,야마데라 코이치,4.0
1654,야마모토 유스케,2.0
1655,야마자키 와카나,20.0
1656,야마자키 츠토무,2.0
1657,야지마 아키코,6.0
1658,야쿠쇼 코지,2.0
1659,양가휘,4.0
1660,양동근,12.0
1661,양상국,2.0
1662,양세나,2.0
1663,양영조,8.0
1664,양유진,2.0
1665,양익준,2.0
1666,양자경,10.0
1667,양정원,2.0
1668,양정화,8.0
1669,양조위,22.0
1670,양진성,2.0
1671,양진우,8.0
1672,양채니,2.0
1673,양희정,2.0
1674,어주선,2.0
1675,엄기준,12.0
1676,엄상현,42.0
1677,엄정화,66.0
1678,엄지원,76.0
1679,엄태구,24.0
1680,엄태웅,56.0
1681,에단 호크,22.0
1682,에드 스크레인,12.0
1683,에드 옥슨볼드,2.0
1684,에드 웨스트윅,2.0
1685,에드 해리스,30.0
1686,에드 헬름스,4.0
1687,에드가 라미레즈,6.0
1688,에드가 킨테로,2.0
1689,에드워드 노튼,16.0
1690,에드워드 번즈,2.0
1691,에드워드 애스너,6.0
1692,에디 레드메인,16.0
1693,에디 머피,10.0
1694,에디 이자드,2.0
1695,에리카 크리스틴슨,2.0
1696,에리크 에부아니,2.0
1697,에릭 댄,2.0
1698,에릭 라 살,8.0
1699,에릭 라딘,4.0
1700,에릭 바나,15.999999999999998
1701,에릭 벌포,4.0
1702,에릭 스튜어트,2.0
1703,에릭 엘모스니노,2.0
1704,에릭 크리스찬 올슨,2.0
1705,에미 로섬,4.0
1706,에밀 허쉬,6.0
1707,에밀리 바클레이,2.0
1708,에밀리 브라우닝,10.0
1709,에밀리 블런트,34.0
1710,에밀리 왓슨,6.0
1711,에밀리아 클라크,14.0
1712,에바 그린,20.0
1713,에바 멘데스,4.0
1714,에반 레이첼 우드,2.0
1715,에반젤린 릴리,8.0
1716,에비사와 켄지,2.0
1717,에스더 가렐,2.0
1718,에이단 길렌,2.0
1719,에이미 아담스,38.0
1720,에이미 포엘러,12.0
1721,에이자 곤잘레스,4.0
1722,에즈라 밀러,6.0
1723,엘든 이렌리치,2.0
1724,엘라 콜트레인,2.0
1725,엘레나 아나야,8.0
1726,엘레나 크니틸라,2.0
1727,엘렌 드제너스,8.0
1728,엘렌 페이지,30.0
1729,엘로디 퐁탕,2.0
1730,엘르 패닝,16.0
1731,엘리 켐퍼,8.0
1732,엘리너 톰린슨,4.0
1733,엘리사 나이트,6.0
1734,엘리자 베넷,4.0
1735,엘리자베스 데비키,2.0
1736,엘리자베스 데일리,2.0
1737,엘리자베스 리저,2.0
1738,엘리자베스 뱅크스,12.0
1739,엘리자베스 슈,4.0
1740,엘리자베스 올슨,8.0
1741,엘리자베스 퍼킨스,2.0
1742,엘리자베스 하노이스,2.0
1743,엘튼 존,12.0
1744,엠마 스톤,43.99999999999999
1745,엠마 왓슨,54.0
1746,엠마 톰슨,26.0
1747,엠마누엘 리바,2.0
1748,엠마누엘 자이그너,2.0
1749,엠버 허드,6.0
1750,엠제이 안소니,2.0
1751,여명,6.0
1752,여문락,2.0
1753,여민정,10.0
1754,여욱환,10.0
1755,여윤미,2.0
1756,여진구,18.0
1757,연상호,6.0
1758,연우진,16.0
1759,연준석,2.0
1760,염정아,32.0
1761,염혜란,10.0
1762,영건,6.0
1763,예지원,10.0
1764,오가타 메구미,4.0
1765,오가타 켄이치,2.0
1766,오광록,10.0
1767,오구리 슌,4.0
1768,오나가 마키,2.0
1769,오나라,12.0
1770,오노 마치코,2.0
1771,오노 켄쇼,4.0
1772,오노 켄토,2.0
1773,오니라 람윌라이,2.0
1774,오다기리 죠,12.0
1775,오달수,298.0
1776,오대환,6.0
1777,오데드 페르,4.0
1778,오데뜨 유스트만,6.0
1779,오데야 러쉬,2.0
1780,오드리 토투,4.0
1781,오라 가리도,2.0
1782,오리카사 후미코,2.0
1783,오마 사이,14.0
1784,오만석,4.0
1785,오사와 타카오,2.0
1786,오상철,10.0
1787,오성수,4.0
1788,오세홍,2.0
1789,오수아,2.0
1790,오스기 렌,6.0
1791,오스카 아이삭,26.0
1792,오스카 제나다,2.0
1793,오스틴 스토웰,2.0
1794,오아연,8.0
1795,오언조,4.0
1796,오연서,12.0
1797,오연수,4.0
1798,오영순,2.0
1799,오오이즈미 요,2.0
1800,오오타니 이쿠에,8.0
1801,오오하라 메구미,14.000000000000002
1802,오웬 윌슨,26.0
1803,오인실,4.0
1804,오자와 료타,2.0
1805,오재균,4.0
1806,오정세,50.00000000000001
1807,오종혁,2.0
1808,오지혜,10.0
1809,오지호,22.0
1810,오카무라 아케미,2.0
1811,오쿠다 에이지,2.0
1812,오크스 페글리,2.0
1813,오태경,4.0
1814,오프라 윈프리,4.0
1815,오하늬,4.0
1816,옥타비아 스펜서,8.0
1817,옥택연,8.0
1818,옥한흠,2.0
1819,온주완,18.0
1820,올가 쿠릴렌코,20.0
1821,올랜도 블룸,30.0
1822,올리버 플랫,14.0
1823,올리비아 데종,2.0
1824,올리비아 문,2.0
1825,올리비아 썰비,2.0
1826,올리비아 와일드,4.0
1827,올리비아 윌리엄스,4.0
1828,올리비아 쿡,10.0
1829,와타나베 켄,4.0
1830,와타나베 쿠미코,2.0
1831,왕대륙,2.0
1832,왕리홍,2.0
1833,왕석현,22.0
1834,왕자문,2.0
1835,왕지혜,2.0
1836,요 키미코,2.0
1837,요한 필리프 아스베크,10.0
1838,욜랭드 모로,2.0
1839,우디 앨런,2.0
1840,우디 해럴슨,48.0
1841,우마 서먼,10.0
1842,우상기,2.0
1843,우스이 마사히로,2.0
1844,우에노 주리,2.0
1845,우에다 유지,2.0
1846,우에토 아야,2.0
1847,우정신,6.0
1848,우현,2.0
1849,우혜영,8.0
1850,우혜진,18.0
1851,워드 호튼,4.0
1852,원빈,24.0
1853,월터 페레즈,4.0
1854,월튼 고긴스,8.0
1855,웨스 벤틀리,2.0
1856,웨스 차담,2.0
1857,웨슬리 스나입스,4.0
1858,웨인 그레이슨,2.0
1859,웬트워스 밀러,6.0
1860,위하준,8.0
1861,위훈,2.0
1862,윌 스미스,40.0
1863,윌 아넷,8.0
1864,윌 윤 리,6.0
1865,윌 켐프,6.0
1866,윌 패튼,2.0
1867,윌 페렐,6.0
1868,윌 펠츠,2.0
1869,윌 폴터,20.0
1870,윌렘 데포,30.0
1871,윌리엄 모즐리,6.0
1872,윌리엄 볼드윈,2.0
1873,윌리엄 새들러,2.0
1874,윌리엄 피츠너,8.0
1875,윌머 발데라마,2.0
1876,유가령,2.0
1877,유다 르위스,2.0
1878,유다인,27.999999999999996
1879,유덕화,14.0
1880,유동근,8.0
1881,유리 로웬탈,6.0
1882,유선,28.0
1883,유세형,2.0
1884,유수호,2.0
1885,유승목,30.0
1886,유승호,36.0
1887,유신애,4.0
1888,유아인,76.0
1889,유역비,12.0
1890,유연석,40.0
1891,유엽,2.0
1892,유영,6.0
1893,유오성,22.0
1894,유윤상,4.0
1895,유인나,8.0
1896,유인영,4.0
1897,유재명,6.0
1898,유재상,6.0
1899,유재석,2.0
1900,유종근,2.0
1901,유준상,40.0
1902,유지니오 델베즈,2.0
1903,유지연,16.0
1904,유지태,32.0
1905,유진,6.0
1906,유진영,2.0
1907,유카,2.0
1908,유키 아오이,14.0
1909,유태웅,2.0
1910,유해진,229.99999999999994
1911,유현주,2.0
1912,유호정,18.0
1913,윤계상,46.0
1914,윤다경,8.0
1915,윤다훈,2.0
1916,윤상현,4.0
1917,윤석현,2.0
1918,윤세아,12.0
1919,윤세웅,8.0
1920,윤소라,2.0
1921,윤소정,6.0
1922,윤승아,4.0
1923,윤승희,10.0
1924,윤시윤,4.0
1925,윤아,18.0
1926,윤아영,2.0
1927,윤안나,2.0
1928,윤여정,45.99999999999999
1929,윤용식,2.0
1930,윤유선,2.0
1931,윤은혜,2.0
1932,윤이나,2.0
1933,윤정원,2.0
1934,윤정희,10.0
1935,윤제문,70.0
1936,윤종호,2.0
1937,윤주상,2.0
1938,윤지수,2.0
1939,윤지원,2.0
1940,윤진서,8.0
1941,윤진이,4.0
1942,윤진하,4.0
1943,윤찬영,2.0
1944,윤채이,2.0
1945,윤하,6.0
1946,윤현아,2.0
1947,윤형빈,4.0
1948,윤효진,2.0
1949,윤희석,14.0
1950,은원재,2.0
1951,은지원,4.0
1952,이강빈,2.0
1953,이강욱,2.0
1954,이경규,2.0
1955,이경근,6.0
1956,이경영,196.00000000000006
1957,이경준,2.0
1958,이경진,6.0
1959,이경태,6.0
1960,이계인,4.0
1961,이광수,30.0
1962,이광훈,2.0
1963,이규섭,2.0
1964,이규한,6.0
1965,이규형,2.0
1966,이금희,2.0
1967,이기광,6.0
1968,이기영,2.0
1969,이기우,10.0
1970,이기욱,2.0
1971,이기홍,26.0
1972,이나영,10.0
1973,이노우에 마사히로,2.0
1974,이노우에 마오,2.0
1975,이다 엥볼,2.0
1976,이다윗,30.0
1977,이다희,12.0
1978,이달형,12.0
1979,이대수,2.0
1980,이대연,4.0
1981,이도겸,4.0
1982,이도경,6.0
1983,이도아,2.0
1984,이동규,4.0
1985,이동길,2.0
1986,이동욱,2.0
1987,이동진,6.0
1988,이동휘,36.0
1989,이드리스 엘바,50.00000000000001
1990,이디나 멘젤,24.0
1991,이레,14.0
1992,이르판 칸,10.0
1993,이리나 샤크,2.0
1994,이리노 미유,6.0
1995,이명박,2.0
1996,이모겐 푸츠,2.0
1997,이몬 파렌,2.0
1998,이문수,10.0
1999,이문식,14.0
2000,이미도,18.0
2001,이미소,4.0
2002,이미숙,12.0
2003,이미연,10.0
2004,이미자,10.0
2005,이민기,72.0
2006,이민아,2.0
2007,이민우,2.0
2008,이민정,18.0
2009,이민호,24.0
2010,이범규,4.0
2011,이범수,55.99999999999999
2012,이병준,28.0
2013,이병헌,146.0
2014,이보영,10.0
2015,이봉화,2.0
2016,이사벨 루카스,2.0
2017,이사벨 퍼만,6.0
2018,이사벨라 모너,2.0
2019,이삼순,8.0
2020,이상엽,2.0
2021,이상우,4.0
2022,이상윤,6.0
2023,이상철,2.0
2024,이상현,12.0
2025,이상호,10.0
2026,이상훈,2.0
2027,이상희,8.0
2028,이새별,14.0
2029,이새아,2.0
2030,이서영,2.0
2031,이서진,6.0
2032,이석준,6.0
2033,이선,16.0
2034,이선균,64.00000000000001
2035,이선영,6.0
2036,이선호,4.0
2037,이성민,72.0
2038,이성배,4.0
2039,이성재,4.0
2040,이성훈,8.0
2041,이세야 유스케,2.0
2042,이세영,8.0
2043,이소영,2.0
2044,이소은,2.0
2045,이소정,2.0
2046,이솜,14.0
2047,이수경,4.0
2048,이수근,2.0
2049,이수나,2.0
2050,이수민,24.0
2051,이수빈,2.0
2052,이수진,2.0
2053,이수혁,8.0
2054,이순재,26.0
2055,이스라엘 브로우사드,6.0
2056,이승기,12.0
2057,이승민,6.0
2058,이승연,4.0
2059,이승욱,8.0
2060,이승주,6.0
2061,이승준,20.0
2062,이승하,2.0
2063,이승훈,10.0
2064,이시언,6.0
2065,이시영,36.0
2066,이시카와 유이,2.0
2067,이시하라 사토미,2.0
2068,이아이,4.0
2069,이아인 글렌,4.0
2070,이아현,2.0
2071,이안 그루퍼드,6.0
2072,이안 맥쉐인,14.0
2073,이안 맥켈런,30.0
2074,이안 보헨,2.0
2075,이엘,8.0
2076,이여진,6.0
2077,이연걸,28.0
2078,이연희,20.0
2079,이영란,2.0
2080,이영수,6.0
2081,이영아,2.0
2082,이영은,2.0
2083,이영훈,4.0
2084,이오인 맥큰,2.0
2085,이와 위클란더,2.0
2086,이와세 료,2.0
2087,이완,18.0
2088,이완 맥그리거,40.0
2089,이요원,12.0
2090,이용신,4.0
2091,이원근,4.0
2092,이원종,6.0
2093,이원찬,2.0
2094,이유영,14.0
2095,이유진,10.0
2096,이윤지,2.0
2097,이은,2.0
2098,이은아,4.0
2099,이은지,2.0
2100,이이다 리호,2.0
2101,이인성,4.0
2102,이일화,4.0
2103,이자벨 위페르,2.0
2104,이장욱,2.0
2105,이장원,10.0
2106,이재관,14.0
2107,이재민,2.0
2108,이재범,2.0
2109,이재용,6.0
2110,이재윤,4.0
2111,이재응,20.0
2112,이재인,2.0
2113,이재진,2.0
2114,이재훈,2.0
2115,이정구,8.0
2116,이정민,6.0
2117,이정우,6.0
2118,이정원,2.0
2119,이정재,111.99999999999999
2120,이정진,16.0
2121,이정헌,4.0
2122,이정현,44.0
2123,이정희,2.0
2124,이제인,2.0
2125,이제훈,56.0
2126,이종걸,2.0
2127,이종석,42.0
2128,이종인,2.0
2129,이종혁,18.0
2130,이종호,2.0
2131,이주승,2.0
2132,이주실,6.0
2133,이준,26.0
2134,이준기,4.0
2135,이준혁,50.0
2136,이준호,26.0
2137,이지아,2.0
2138,이지용,4.0
2139,이지현,4.0
2140,이지형,2.0
2141,이지훈,2.0
2142,이진서,2.0
2143,이진성,4.0
2144,이진욱,34.0
2145,이진호,6.0
2146,이진희,12.0
2147,이창민,4.0
2148,이창훈,2.0
2149,이채은,2.0
2150,이천희,8.0
2151,이철민,8.0
2152,이청미,2.0
2153,이청아,32.0
