,movieCd,starScore,userCount
245,20112134,7.45,10649
246,20112621,8,2833
247,20081003,6.13,12990
248,20119513,3.35,20202
249,20090856,8.19,5383
250,20081484,7.06,2235
251,20110279,8.88,5559
252,20149569,7.63,7374
253,20136888,7.13,8828
254,20090930,7.52,5826
255,20137961,7.86,12375
256,20101222,7.81,9677
257,20168261,7.71,12536
258,20101010,6.68,13251
259,20090329,7.03,6313
260,20110295,7.16,9418
261,20175262,8.23,9496
262,20147930,8.01,5438
263,20150972,8.1,6676
264,20100361,7.39,5031
265,20122784,8.54,5662
266,20147299,8.6,6336
267,20150025,9.03,7318
268,20101221,8.52,7602
269,20113862,8.41,2062
270,20149811,8.23,6440
271,20161827,9.05,12774
272,20080968,7.89,3659
273,20143572,7.73,13363
274,20179901,7.92,9776
275,20159644,7.72,8469
276,20133602,6.07,8012
277,20154001,7.79,9676
278,20100193,8.68,4746
279,20090282,7.48,2806
280,20137043,8.65,8709
281,20135656,7.08,9763
282,20090828,6.6,9588
283,20090234,8.15,4164
284,20161081,7.29,10508
285,20162941,8.24,8016
286,20137549,9.05,1537
287,20090484,8.76,4578
288,20090156,7.35,3817
289,20152963,7,14737
290,20142407,6.65,9254
291,20102416,8.85,6773
292,20090923,6.47,6206
293,20100305,7.55,4804
294,20128690,7.43,5714
295,20119341,7.87,5922
296,20143642,7.86,6269
297,20124045,8.54,6747
298,20113972,7.06,5357
299,20174602,8.94,14724
300,20134123,8.82,5034
301,20100301,7.85,11991
302,20124936,8.22,5761
303,20157432,7.03,6501
304,20090051,7.58,6831
305,20071013,8.16,4625
306,20135221,8.81,5146
307,20081395,5.05,5112
308,20168221,7.76,11365
309,20090024,8.88,10050
310,20129606,7.17,4017
311,20140425,8.29,8090
312,20145171,8,10641
313,20102417,5.72,3733
314,20141962,8.78,6740
315,20125333,7.6,6272
316,20134589,8.32,5348
317,20162025,8.96,6747
318,20113916,6.68,4726
319,20171962,8.38,3210
320,20124142,9.34,7515
321,20102415,7.77,6150
322,20144682,7.61,5641
323,20129368,8.24,10023
324,20171909,7.91,5380
325,20148188,6.07,8924
326,20080764,7.81,4587
327,20110211,7.3,4297
328,20090308,6.94,4903
329,20168183,7.78,7263
330,20080047,6.89,4371
331,20139881,7.61,7229
332,20170241,7.66,8619
333,20149859,8.69,4220
334,20126667,8.27,652
335,20124063,7.01,6676
336,20119337,9.34,7631
337,20161726,7.72,7822
338,20124136,9.03,2254
339,20119577,8.67,5913
340,20110185,8.97,3422
341,20071064,7.55,4218
342,20138226,8.36,3921
343,20110249,6.79,3409
344,20134594,7.06,7401
345,20123329,8.97,8290
346,20090951,7.24,2469
347,20157464,6.84,5915
348,20147247,7.18,4423
349,20128386,8.84,7675
350,20081723,4.6,6754
351,20080914,6.79,4397
352,20100833,5.61,4412
353,20080011,7.99,4661
354,20145141,8.78,9321
355,20124057,7.64,5199
356,20090014,5.9,2898
357,20090023,8.59,4605
358,20081686,8.2,4611
359,20134181,8.23,7840
360,20154242,8.59,5421
361,20140842,7.08,6214
362,20113260,8.93,6028
363,20170841,8.75,9413
364,20150782,7.28,10752
365,20071675,7.41,5657
366,20100377,9.37,7291
367,20080479,8.63,3796
368,20149266,6.95,7005
