순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
2479,안녕?! 오케스트라,이철하,"(주)MBC,(주)꿈꾸는 오아시스,센미디어 ",,(주)영화사 진진,2013-11-28,개봉영화,장편,한국,49,91780500,14665,다큐멘터리,전체관람가,다양성영화
2480,아마데우스 감독판,밀로스 포만,,시네마 뉴원,시네마 뉴원,2015-10-29,개봉영화,장편,미국,31,118519400,14628,드라마,12세이상관람가,다양성영화
2481,피노키오의 모험,안나 저스티스,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-09-18,개봉영화,장편,독일,54,105233300,14557,애니메이션,전체관람가,상업영화
2482,엘리펀트 송,찰스 비네임,,(주)엣나인필름,(주)엣나인필름,2015-06-11,개봉영화,장편,캐나다,49,113991400,14488,미스터리,15세이상관람가,다양성영화
2483,공정사회,이지승,시네마팩토리,,(주)엣나인필름,2013-04-18,개봉영화,장편,한국,37,97348000,14461,드라마,청소년관람불가,다양성영화
2484,어느 하녀의 일기,브누와 쟉꼬,,(주)수키픽쳐스,주식회사 씨네룩스,2015-08-06,개봉영화,장편,프랑스,37,110710900,14436,드라마,청소년관람불가,다양성영화
2485,갬빗,마이클 호프만,,(주)수키픽쳐스,(주)나이너스엔터테인먼트,2013-11-28,개봉영화,장편,미국,94,95213128,14426,코미디,15세이상관람가,다양성영화
2486,춘몽,장률,(주)률필름,,"(주)프레인글로벌,(주)스톰픽쳐스코리아",2016-10-13,개봉영화,장편,한국,96,114343700,14423,드라마,15세이상관람가,다양성영화
2487,무수단,구모,골든타이드픽처스(주),,오퍼스픽쳐스,2016-03-03,개봉영화,장편,한국,228,112188400,14386,미스터리,15세이상관람가,상업영화
2488,리틀 보이,알레한드로 몬테베르드,,(주)우성엔터테인먼트,메가박스(주)플러스엠,2015-12-10,개봉영화,장편,미국,143,100778300,14343,드라마,12세이상관람가,다양성영화
2489,더 문,던칸 존스,,㈜플래니스 엔터테인먼트,(주)영화사구안,2009-11-26,개봉영화,장편,영국,46,103466465,14331,SF,12세이상관람가,다양성영화
