순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
1,명량,김한민,(주)빅스톤픽쳐스,,씨제이이앤엠(주),2014-07-30,개봉영화,장편,한국,1587,135748398910,17613682,사극,15세이상관람가,상업영화
2,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,115700607637,14411047,판타지,12세이상관람가,상업영화
3,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,966,110828014630,14245998,드라마,12세이상관람가,상업영화
4,아바타,제임스 카메론,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2009-12-17,개봉영화,장편,미국,912,128447097523,13624328,SF,12세이상관람가,상업영화
5,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,1064,105024756250,13395400,액션,15세이상관람가,상업영화
6,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,1072,93665568500,12983330,액션,15세이상관람가,상업영화
7,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,91431914670,12811206,코미디,15세이상관람가,상업영화
8,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,1519,98463132781,12705700,액션,15세이상관람가,상업영화
9,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",,씨제이이앤엠(주),2012-09-13,개봉영화,장편,한국,810,88900208769,12319542,사극,15세이상관람가,상업영화
10,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,1906,95284747049,12099971,드라마,15세이상관람가,상업영화
11,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,1788,93175877048,11565078,액션,15세이상관람가,상업영화
12,해운대,윤제균,(주)제이케이필름,,씨제이엔터테인먼트,2009-07-22,개봉영화,장편,한국,753,81934638201,11453338,액션,12세이상관람가,상업영화
13,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,82856578300,11372451,드라마,15세이상관람가,상업영화
14,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-04-23,개봉영화,장편,미국,1843,88582586366,10494499,액션,12세이상관람가,상업영화
15,겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,개봉영화,장편,미국,1010,82461504400,10296101,애니메이션,전체관람가,상업영화
16,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,1342,82274331200,10273803,SF,12세이상관람가,상업영화
17,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,개봉영화,장편,한국,1812,77252755264,9699092,범죄,15세이상관람가,상업영화
18,관상,한재림,"(주)주피터필름,(주)쇼박스",,(주)쇼박스,2013-09-11,개봉영화,장편,한국,1190,66005451500,9134586,사극,15세이상관람가,상업영화
19,아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,개봉영화,장편,미국,1381,70806191000,9001309,액션,12세이상관람가,상업영화
20,설국열차,봉준호,"(주)모호필름,오퍼스픽쳐스",,씨제이이앤엠(주),2013-08-01,개봉영화,장편,한국,1128,64016480000,8914845,SF,15세이상관람가,상업영화
21,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,개봉영화,장편,미국,1991,72672111827,8677249,액션,12세이상관람가,상업영화
22,수상한 그녀,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",,씨제이이앤엠(주),2014-01-22,개봉영화,장편,한국,692,62696639249,8656397,드라마,15세이상관람가,상업영화
23,해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838,66240631706,8646758,어드벤처,12세이상관람가,상업영화
24,국가대표,김용화,케이엠컬쳐㈜,,(주)쇼박스,2009-07-29,개봉영화,장편,한국,580,60896633308,8487894,드라마,12세이상관람가,상업영화
25,과속스캔들,강형철,"(주)토일렛픽쳐스,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2008-12-03,개봉영화,장편,한국,405,53940101534,8245523,코미디,12세이상관람가,상업영화
26,공조,김성훈,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",,씨제이이앤엠(주),2017-01-18,개봉영화,장편,한국,976,63781818326,7817459,액션,15세이상관람가,상업영화
27,트랜스포머 3,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2011-06-29,개봉영화,장편,미국,1409,74841350500,7784807,액션,12세이상관람가,상업영화
28,히말라야,이석훈,(주)제이케이필름,,씨제이이앤엠(주),2015-12-16,개봉영화,장편,한국,1009,60173583015,7759473,드라마,12세이상관람가,상업영화
29,미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,씨제이이앤엠(주),씨제이이앤엠(주),2011-12-15,개봉영화,장편,미국,1038,57795846000,7575899,액션,15세이상관람가,상업영화
30,트랜스포머: 패자의 역습,마이클 베이,"드림웍스 SKG,파라마운트 픽쳐스",씨제이엔터테인먼트,씨제이엔터테인먼트,2009-06-24,개봉영화,장편,미국,1129,51478531663,7505700,SF,12세이상관람가,상업영화
31,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,1444,61158644831,7487545,액션,15세이상관람가,상업영화
32,최종병기 활,김한민,"(주)디씨지플러스,(주)다세포클럽",,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,개봉영화,장편,한국,615,55808856500,7466976,사극,15세이상관람가,상업영화
33,써니,강형철,"(주)알로하픽쳐스,(주)토일렛픽쳐스",,씨제이이앤엠(주),2011-05-04,개봉영화,장편,한국,472,53773170600,7328820,드라마,15세이상관람가,상업영화
34,스파이더맨: 홈 커밍,존 와츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,개봉영화,장편,미국,1965,59120173820,7257973,액션,12세이상관람가,상업영화
35,1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,1299,58169147145,7232092,드라마,15세이상관람가,상업영화
36,베를린,류승완,"(주)외유내강,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-01-30,개봉영화,장편,한국,894,52354931637,7166199,액션,15세이상관람가,상업영화
37,마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,1501,58051372265,7147879,액션,15세이상관람가,상업영화
38,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,개봉영화,장편,한국,1105,57510324417,7118592,드라마,12세이상관람가,상업영화
39,어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,개봉영화,장편,미국,967,59557853478,7074867,액션,12세이상관람가,상업영화
40,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,개봉영화,장편,한국,1075,56596582057,7071763,범죄,청소년관람불가,상업영화
41,인천상륙작전,이재한,(주)태원엔터테인먼트,,씨제이이앤엠(주),2016-07-27,개봉영화,장편,한국,1049,55101410303,7049643,전쟁,12세이상관람가,상업영화
42,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,1158,56361435256,6965706,코미디,15세이상관람가,상업영화
43,은밀하게 위대하게,장철수,(주)엠씨엠씨,,(주)쇼박스,2013-06-05,개봉영화,장편,한국,1341,48663939413,6953800,액션,15세이상관람가,상업영화
44,곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2016-05-12,개봉영화,장편,한국,1485,55853108382,6878264,미스터리,15세이상관람가,상업영화
45,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스(주)플러스엠,(주)키위미디어그룹",2017-10-03,개봉영화,장편,한국,1315,56077837249,6851300,범죄,청소년관람불가,상업영화
46,"좋은 놈, 나쁜 놈, 이상한 놈 ",김지운,"(주)다크서클픽쳐스,(주)바른손이앤에이",,씨제이엔터테인먼트,2008-07-17,개봉영화,장편,한국,825,43768628939,6686912,서부극(웨스턴),15세이상관람가,상업영화
47,늑대소년,조성희,(주)영화사비단길,,씨제이이앤엠(주),2012-10-31,개봉영화,장편,한국,706,46593107500,6654837,멜로/로맨스,15세이상관람가,상업영화
48,군함도,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2017-07-26,개봉영화,장편,한국,2027,50510565168,6592151,액션,15세이상관람가,상업영화
49,다크 나이트 라이즈,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-07-19,개봉영화,장편,미국,1210,47644838000,6396528,액션,15세이상관람가,상업영화
50,아저씨,이정범,오퍼스픽쳐스,,씨제이엔터테인먼트,2010-08-04,개봉영화,장편,한국,478,47870792359,6282774,액션,청소년관람불가,상업영화
51,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,개봉영화,장편,한국,1210,48842902501,6246849,사극,12세이상관람가,상업영화
52,전우치,최동훈,영화사 집,,씨제이엔터테인먼트,2009-12-23,개봉영화,장편,한국,606,44605437017,6136928,액션,12세이상관람가,상업영화
53,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,개봉영화,장편,미국,1202,48547353607,6126488,액션,15세이상관람가,상업영화
54,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,개봉영화,장편,미국,706,50333635795,6125154,액션,청소년관람불가,상업영화
55,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,개봉영화,장편,한국,1013,45560620330,6043458,드라마,12세이상관람가,상업영화
56,인셉션,크리스토퍼 놀란,"워너 브러더스 픽쳐스,레젼데리 픽쳐스",워너브러더스 코리아(주),워너브러더스 코리아(주),2010-07-21,개봉영화,장편,미국,528,44106546302,5926948,드라마,12세이상관람가,상업영화
57,레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,개봉영화,장편,미국,696,43044999000,5911890,드라마,12세이상관람가,상업영화
58,청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,개봉영화,장편,한국,1102,44241099316,5636259,액션,15세이상관람가,상업영화
59,숨바꼭질,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,개봉영화,장편,한국,779,39593038500,5602543,스릴러,15세이상관람가,상업영화
60,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964,44344141109,5593551,사극,12세이상관람가,상업영화
61,더 테러 라이브,김병우,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,개봉영화,장편,한국,743,39866712881,5583596,범죄,15세이상관람가,상업영화
62,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,1290,47800698826,5546792,액션,12세이상관람가,상업영화
63,의형제,장훈,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",,(주)쇼박스,2010-02-04,개봉영화,장편,한국,572,40800867602,5507106,드라마,15세이상관람가,상업영화
64,감시자들,"조의석,김병서",영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,개봉영화,장편,한국,949,39298005179,5496547,범죄,15세이상관람가,상업영화
65,2012,롤랜드 에머리히,센트로폴리스 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12,개봉영화,장편,미국,789,39415166660,5462953,SF,12세이상관람가,상업영화
66,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,개봉영화,장편,미국,1503,47482530396,5446379,액션,12세이상관람가,상업영화
67,검은 사제들,장재현,영화사 집,,씨제이이앤엠(주),2015-11-05,개봉영화,장편,한국,1088,42395347092,5440945,미스터리,15세이상관람가,상업영화
68,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,개봉영화,장편,미국,1620,45859383357,5396198,액션,12세이상관람가,상업영화
69,더 킹,한재림,(주)우주필름,,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,개봉영화,장편,한국,1310,43484363535,5316015,범죄,15세이상관람가,상업영화
70,완득이,이한,"(주)유비유필름,어나더픽쳐스(주)",,씨제이이앤엠(주),2011-10-20,개봉영화,장편,한국,500,38530503500,5310510,드라마,12세이상관람가,상업영화
71,트랜스포머: 사라진 시대,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2014-06-25,개봉영화,장편,미국,1602,44012272845,5295801,액션,12세이상관람가,상업영화
72,어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,2553,46121068531,5258905,액션,12세이상관람가,상업영화
73,월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,개봉영화,장편,미국,964,38555357000,5237525,드라마,15세이상관람가,상업영화
74,타워,김지훈,"씨제이이앤엠(주),(주)더타워픽쳐스",,씨제이이앤엠(주),2012-12-25,개봉영화,장편,한국,617,37654858000,5181014,드라마,12세이상관람가,상업영화
75,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,1627,42130607579,5137995,멜로/로맨스,전체관람가,상업영화
76,추격자,나홍진,(주)영화사비단길,,(주)쇼박스,2008-02-14,개봉영화,장편,한국,435,33943278500,5071619,범죄,청소년관람불가,상업영화
77,쿵푸팬더 2,여인영,,씨제이이앤엠(주),씨제이이앤엠(주),2011-05-26,개봉영화,장편,미국,948,44298724500,5062722,애니메이션,전체관람가,상업영화
78,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,개봉영화,장편,미국,777,38015586936,4968687,애니메이션,전체관람가,상업영화
79,킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,개봉영화,장편,미국,1687,40987484736,4945484,액션,청소년관람불가,상업영화
80,바람과 함께 사라지다,김주호,"(주)두타연,(주)에이디사공육",,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,개봉영화,장편,한국,694,34524377161,4897551,코미디,12세이상관람가,상업영화
81,마션,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-10-08,개봉영화,장편,미국,1132,39612764295,4875494,액션,12세이상관람가,상업영화
82,토르: 라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,개봉영화,장편,미국,1640,39248432595,4857152,액션,12세이상관람가,상업영화
83,어메이징 스파이더맨,마크 웹,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,개봉영화,장편,미국,1118,41163951235,4853123,액션,12세이상관람가,상업영화
84,"님아, 그 강을 건너지 마오",진모영,아거스필름,,"CGV아트하우스,(주)대명문화공장",2014-11-27,개봉영화,장편,한국,206,37354452679,4801355,다큐멘터리,전체관람가,다양성영화
85,조선명탐정 : 각시투구꽃의 비밀,김석윤,청년필름(주),,(주)쇼박스,2011-01-27,개봉영화,장편,한국,611,35841769500,4786259,코미디,12세이상관람가,상업영화
86,군도: 민란의 시대,윤종빈,"(주)영화사 월광,(주)쇼박스",,(주)쇼박스,2014-07-23,개봉영화,장편,한국,1394,36987755999,4774895,사극,15세이상관람가,상업영화
87,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,"(주)팔레트픽처스,(주)쇼박스",,(주)쇼박스,2012-02-02,개봉영화,장편,한국,699,36479147500,4710454,범죄,청소년관람불가,상업영화
88,주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,개봉영화,장편,미국,661,37077444042,4703245,애니메이션,전체관람가,상업영화
89,엣지 오브 투모로우,더그 라이만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-06-04,개봉영화,장편,미국,801,38703942201,4697142,액션,12세이상관람가,상업영화
90,신세계,박훈정,"(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,개봉영화,장편,한국,671,34881330905,4682492,범죄,청소년관람불가,상업영화
91,쿵푸 팬더,"마크 오스본,존 스티븐슨",,씨제이엔터테인먼트,씨제이엔터테인먼트,2008-06-05,개봉영화,장편,미국,351,30000965000,4673009,애니메이션,전체관람가,상업영화
92,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,개봉영화,장편,미국,1431,39337238058,4666990,어드벤처,12세이상관람가,상업영화
93,도가니,황동혁,"(주)삼거리픽쳐스,(주)판타지오",,씨제이이앤엠(주),2011-09-22,개봉영화,장편,한국,644,35566854800,4662822,드라마,청소년관람불가,상업영화
94,내 아내의 모든 것,민규동,"(주)수필름,영화사 집",,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,개봉영화,장편,한국,563,34222160500,4598583,코미디,15세이상관람가,상업영화
95,판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,개봉영화,장편,한국,1166,35965757064,4571145,드라마,12세이상관람가,상업영화
96,터미네이터 : 미래전쟁의 시작,맥지,더 할사이온 컴퍼니,(유)마스엔터테인먼트코리아,롯데쇼핑㈜롯데엔터테인먼트,2009-05-21,개봉영화,장편,미국,704,30146162133,4568891,SF,15세이상관람가,상업영화
97,맘마미아!,필리다 로이드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2008-09-03,개봉영화,장편,미국,457,29570784560,4554785,멜로/로맨스,12세이상관람가,상업영화
98,연가시,박정우,(주)오죤필름,,씨제이이앤엠(주),2012-07-05,개봉영화,장편,한국,759,32154766664,4513026,공포(호러),15세이상관람가,상업영화
99,아이언맨 2,존 파브로,"파라마운트 픽쳐스,마블 엔터프라이즈",씨제이엔터테인먼트,씨제이엔터테인먼트,2010-04-29,개봉영화,장편,미국,757,33161943100,4498335,SF,12세이상관람가,상업영화
100,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩앤알프레드",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,1426,35478088466,4451356,액션,15세이상관람가,상업영화
101,해리포터와 죽음의 성물2,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-07-13,개봉영화,장편,미국,757,34507819000,4400298,판타지,전체관람가,상업영화
102,아이언맨,존 파브로,,씨제이엔터테인먼트,씨제이엔터테인먼트,2008-04-30,개봉영화,장편,미국,592,27802744668,4316003,SF,12세이상관람가,상업영화
103,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-05-22,개봉영화,장편,미국,1056,34654558766,4313871,액션,12세이상관람가,상업영화
104,강철중: 공공의 적 1-1,강우석,"(주)시네마서비스글로벌,(주)시네마서비스",,"씨제이엔터테인먼트,(주)시네마서비스",2008-06-19,개봉영화,장편,한국,659,28465757767,4300670,드라마,15세이상관람가,상업영화
105,아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",,씨제이이앤엠(주),2016-06-01,개봉영화,장편,한국,1171,35114332791,4277071,스릴러,청소년관람불가,상업영화
106,어메이징 스파이더맨 2,마크 웹,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23,개봉영화,장편,미국,1312,34869056800,4168350,액션,12세이상관람가,상업영화
107,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,,씨제이엔터테인먼트,씨제이엔터테인먼트,2008-05-22,개봉영화,장편,미국,660,26693951667,4136101,액션,12세이상관람가,상업영화
108,용의자,원신연,"(주)그린피쉬,(주)쇼박스",,(주)쇼박스,2013-12-24,개봉영화,장편,한국,807,30037161000,4131248,액션,15세이상관람가,상업영화
109,건축학개론,이용주,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,개봉영화,장편,한국,593,30219800500,4110645,멜로/로맨스,12세이상관람가,상업영화
110,미이라 3:황제의 무덤,롭 코헨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2008-07-30,개봉영화,장편,미국,527,26222207084,4090795,액션,12세이상관람가,상업영화
111,7급 공무원,신태라,"(주)하리마오픽쳐스,(주)영화사수작,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2009-04-22,개봉영화,장편,한국,475,26701311856,4088799,코미디,12세이상관람가,상업영화
112,다크 나이트,크리스토퍼 놀란,,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)","주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2008-08-06,개봉영화,장편,미국,462,27059471306,4087355,범죄,15세이상관람가,상업영화
113,댄싱퀸,이석훈,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2012-01-18,개봉영화,장편,한국,534,30129259500,4057546,코미디,12세이상관람가,상업영화
114,우리 생애 최고의 순간,임순례,(주)엠케이픽처스 ,,(주)싸이더스,2008-01-10,개봉영화,장편,한국,418,26151780425,4044582,드라마,전체관람가,상업영화
115,꾼,장창원,(주)영화사두둥,,(주)쇼박스,2017-11-22,개봉영화,장편,한국,1314,31313568795,4018341,범죄,15세이상관람가,상업영화
116,혹성탈출: 반격의 서막,맷 리브스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-07-10,개봉영화,장편,미국,922,31509793095,4002134,액션,12세이상관람가,상업영화
117,타짜-신의 손,강형철,(주)싸이더스,,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,개봉영화,장편,한국,890,32267244827,4001813,드라마,청소년관람불가,상업영화
118,쿵푸팬더3,"여인영,알레산드로 칼로니",드림웍스 애니메이션,씨제이이앤엠(주),씨제이이앤엠(주),2016-01-28,개봉영화,장편,미국,1365,31340798156,3984812,애니메이션,전체관람가,상업영화
119,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-03-26,개봉영화,장편,미국,1106,31710585385,3963220,액션,15세이상관람가,상업영화
120,박수건달,조진규,"주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스",,(주)쇼박스,2013-01-09,개봉영화,장편,한국,599,28343986569,3893216,코미디,15세이상관람가,상업영화
121,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,2015-02-11,개봉영화,장편,한국,811,30456879428,3872015,사극,12세이상관람가,상업영화
122,역린,이재규,"굿초이스컷픽쳐스(주),(주)파파스필름",,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,개봉영화,장편,한국,1054,29893297890,3849433,사극,15세이상관람가,상업영화
123,매드 맥스: 분노의 도로,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-05-14,개봉영화,장편,미국,799,32906364462,3842441,액션,15세이상관람가,상업영화
124,남한산성,황동혁,(주)싸이런픽쳐스,,씨제이이앤엠(주),2017-10-03,개봉영화,장편,한국,1229,31067321992,3829891,사극,15세이상관람가,상업영화
125,쌍화점,유하,오퍼스픽쳐스,,(주)쇼박스,2008-12-30,개봉영화,장편,한국,499,25616489949,3779553,드라마,청소년관람불가,상업영화
126,신기전,김유진,(주)시네마서비스글로벌,,씨제이엔터테인먼트,2008-09-04,개봉영화,장편,한국,585,24314570667,3726134,사극,15세이상관람가,상업영화
127,미이라,알렉스 커츠먼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,개봉영화,장편,미국,1257,30504689978,3689325,액션,15세이상관람가,상업영화
128,분노의 질주: 더 익스트림,F. 게리 그레이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-04-12,개봉영화,장편,미국,1469,29981156348,3653238,액션,15세이상관람가,상업영화
129,너의 이름은.,신카이 마코토,,(주)미디어캐슬,메가박스(주)플러스엠,2017-01-04,개봉영화,장편,일본,947,29248822156,3637113,애니메이션,12세이상관람가,상업영화
130,인턴,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-24,개봉영화,장편,미국,496,28518443148,3610642,코미디,12세이상관람가,상업영화
131,귀향,조정래,주식회사 제이오엔터테인먼트코리아,,(주)와우픽쳐스,2016-02-24,개봉영화,장편,한국,876,27245051990,3586523,드라마,15세이상관람가,상업영화
132,리얼 스틸,숀 레비,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-12,개봉영화,장편,미국,603,26566677000,3579666,액션,12세이상관람가,상업영화
133,라라랜드,다미엔 차젤레,,판씨네마(주),판씨네마(주),2016-12-07,개봉영화,장편,미국,727,29825580894,3571216,드라마,12세이상관람가,상업영화
134,신의 한 수,조범구,"(주)메이스엔터테인먼트,(주)아지트필름",,(주)쇼박스,2014-07-03,개봉영화,장편,한국,794,28777712256,3562123,범죄,청소년관람불가,상업영화
135,코코,리 언크리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-01-11,개봉영화,장편,미국,1177,27685659440,3510046,애니메이션,전체관람가,상업영화
136,부러진 화살,정지영,(주)아우라픽처스,,(주)넥스트엔터테인먼트월드(NEW),2012-01-18,개봉영화,장편,한국,453,25878110500,3450941,드라마,15세이상관람가,상업영화
137,끝까지 간다,김성훈,"(주)에이디사공육,(주)다세포클럽",,(주)쇼박스,2014-05-29,개봉영화,장편,한국,645,27006007900,3450143,액션,15세이상관람가,상업영화
