,VIF Factor,features
0,48.76668028145192,openDt_score
1,79.56739461114299,prdtYear_score
2,28.57478855850332,repNationNm_score
3,19.794288197191495,repGenreNm_score
4,12.806942832826696,distributor_score
5,23.689678149103194,actor_score
6,6.836900627582317,userCount
7,11.850890856882222,previous_screen
8,24.42874460440426,screen_D19
9,37.65419003643975,screen_D24
10,10.25956303697296,previous_show
11,19.790688254015425,show_D7
12,129.23942641975125,show_D23
13,172.58167386016484,show_D24
14,5.299247774195163,previous_audience
15,11.48566649581366,audience_D1
16,13.686468332691096,audience_D2
17,57.61191943438171,audience_D3
18,123.35648324880557,audience_D4
19,56.65947896856347,audience_D5
20,13.301928614092903,audience_D6
21,10.902253313174233,audience_D7
22,15.445984205464933,audience_D8
23,16.178758661850292,audience_D9
24,26.71145352943148,audience_D10
25,23.654783318132978,audience_D12
26,9.417321106054326,audience_D13
27,11.531008496246859,audience_D14
28,16.16747012258007,audience_D15
29,16.902589904196464,audience_D16
30,40.33069947754855,audience_D17
31,116.18557044019268,audience_D18
32,49.83855362997404,audience_D19
33,19.429189178838055,audience_D20
34,20.154854842967232,audience_D21
35,47.21758816578085,audience_D25
36,25.661182504699315,audience_D26
37,17.441763930510284,audience_D27
38,18.514140305445718,audience_D28
