,movieCd,director_score,openDt_score,prdtYear_score,repNationNm_score,repGenreNm_score,showTm_score,watchGradeNm_score,distributor_score,actor_score,starScore,userCount,previous_screen,screen_D1,screen_D2,screen_D3,screen_D4,screen_D5,screen_D6,screen_D7,previous_show,show_D1,show_D2,show_D3,show_D4,show_D5,show_D6,show_D7,previous_audience,audience_D1,audience_D2,audience_D3,audience_D4,audience_D5,audience_D6,audience_D7,final_audience
1514,20100339,0.768822179,9.884749172,13.31590631,3.082678504,3.565127854,2.718236283,5.71200294,1.887070148,1.11013145,6.587604375,0.143857824,0.025408384,0.420411185,0.407594333,0.398796004,0.379661596,0.382792792,0.397667864,0.303198741,0.015178256,0.497128975,0.484254766,0.467752305,0.414170794,0.414543519,0.429342587,0.121087262,0.01703487,0.100511417,0.119174271,0.147126182,0.100686811,0.049615622,0.082068609,0.023509503,83508
1515,20110292,0.768822179,7.413561879,13.31590631,3.082678504,3.310475864,2.718236283,5.71200294,1.887070148,1.062554388,3.249649343,0.05439047,0.069873056,0.98721555,0.96941355,0.94101864,0.883637166,0.862145927,0.933972231,0.943284972,0.032886222,0.832198285,0.830354495,0.767060093,0.663059143,0.660866479,0.683846157,0.680290257,0.065839415,0.113879114,0.140019457,0.154015405,0.086159703,0.048034247,0.071362436,0.078228532,84798
1516,20125806,0.768822179,7.413561879,13.31590631,3.082678504,3.055823874,2.718236283,5.272618098,1.887070148,1.014977326,7.974003687,0.029538428,0.012704192,0.409150171,0.39657827,0.850065166,0.799641237,0.838005841,0.368481232,0.123525413,0.005059419,0.113879765,0.113942298,0.42144684,0.396163368,0.409203184,0.107159398,0.03008835,0.015525452,0.009847157,0.010311122,0.152816934,0.12634597,0.205117438,0.00906649,0.004345296,84255
1517,20080008,0.768822179,7.413561879,11.41363398,5.857089158,3.310475864,2.718236283,7.908927147,3.019312237,1.030836346,6.305026171,0.072709976,0.050816768,0.634370449,0.627915595,0.62617969,0.608130521,0.603502149,0.63845758,0.666288592,0.030356512,0.699338559,0.687926623,0.671093694,0.59102944,0.514007262,0.563291835,0.55773527,0.052434338,0.082877653,0.082589297,0.123363125,0.089891152,0.033684739,0.060620092,0.065694533,83354
1518,20090485,0.768822179,6.91932442,13.31590631,4.624017756,3.310475864,2.718236283,5.71200294,2.641898208,1.046695367,6.31385674,0.164165493,0.006352096,0.570558037,0.565491237,0.545720847,0.524134593,0.531081891,0.56184267,0.482872069,0.002529709,0.651888656,0.660153188,0.612037449,0.573665137,0.530695809,0.557651866,0.173191478,0,0.090084406,0.125595034,0.153316959,0.113450981,0.04779997,0.06910787,0.015717027,82546
1519,20090599,0.768822179,6.425086962,14.26704247,4.624017756,3.565127854,2.718236283,7.030157464,1.887070148,0.983259284,5.448460991,0.061775077,0.025408384,0.341584088,0.337825934,0.321835371,0.312464853,0.310372534,0.335646271,0.329401101,0.010118837,0.417559139,0.430132174,0.425473402,0.390375267,0.34445162,0.374352896,0.195207344,0.020556848,0.072885532,0.107179928,0.128117324,0.079226311,0.032850125,0.059993154,0.026890645,82356
1520,20101118,0.768822179,8.402036796,13.31590631,4.624017756,3.310475864,2.718236283,7.030157464,1.887070148,1.205285574,5.863497728,0.038769186,0.215971263,0.60809475,0.565491237,0.552717268,0.544293615,0.544876226,0.554546012,0.587681511,0.086010118,0.548958869,0.581817858,0.578482765,0.556300833,0.570080781,0.518877084,0.534251679,0.115722116,0.08305368,0.084896759,0.083329438,0.104860552,0.091192591,0.089929449,0.100694636,82503
1521,20145021,0.768822179,7.413561879,14.26704247,4.624017756,3.310475864,2.718236283,5.71200294,3.208019252,1.030836346,7.453000124,0.16132526,0.025408384,0.195190907,0.201961156,0.195899791,0.194870554,0.200017855,0.207954755,0.142241385,0.012648547,0.088329818,0.090441699,0.077175775,0.075888437,0.076767318,0.090944489,0.065313736,0.031446227,0.025389306,0.035191579,0.039462231,0.030449615,0.020155202,0.042860865,0.038896341,83761
1522,20147971,0.768822179,6.91932442,15.21817864,3.082678504,3.055823874,2.718236283,5.272618098,3.019312237,1.046695367,7.532475244,0.074982163,0.025408384,0.626863106,0.613227511,1.031972115,1.011310977,0.544876226,0.514414393,0.557735956,0.010118837,0.15037969,0.148837126,0.385878874,0.378799064,0.132173296,0.123374307,0.127692022,0.036549501,0.02155813,0.014056567,0.161682444,0.141689137,0.005747125,0.008777133,0.010024558,84306
1523,20176961,0.768822179,7.413561879,14.26704247,4.624017756,3.565127854,2.718236283,7.030157464,3.019312237,1.062554388,7.108607938,0.076260268,0.06352096,0.304047375,0.268057535,0.279856845,0.282226319,0.296578199,0.313756296,0.33688749,0.027826803,0.267179449,0.259218727,0.253002323,0.246958983,0.282370223,0.297508328,0.306020536,0.068858253,0.065947998,0.056605271,0.052677158,0.058619247,0.075488664,0.060029324,0.062286976,83258
1524,20136662,0.768822179,6.91932442,15.21817864,4.624017756,4.074431833,4.809187271,7.030157464,3.019312237,1.030836346,6.958488268,0.260591418,0.019056288,0.98721555,1.00613376,0.965506114,0.934034723,0.903528932,0.959510534,0.976973721,0.007589128,0.726348503,0.718548615,0.654316352,0.594888174,0.558065027,0.597131644,0.609105623,0.02199439,0.095572306,0.13373246,0.163309507,0.090215084,0.040434865,0.067805767,0.084568173,82995
1525,20145041,0.768822179,7.413561879,14.26704247,4.624017756,5.34769178,4.809187271,5.71200294,2.641898208,1.030836346,7.32937216,0.141443625,0.355717374,0.942171495,0.936365361,0.892043692,0.84331912,0.848351592,0.919378915,0.943284972,0.209965876,0.447489078,0.449359937,0.414064809,0.349858559,0.341781452,0.401847742,0.410228968,0.301632211,0.089349234,0.094516756,0.080297545,0.089536072,0.094282128,0.073737566,0.073302102,82779
1526,20090460,0.768822179,7.413561879,14.26704247,3.082678504,4.329083822,2.718236283,5.71200294,1.887070148,1.046695367,5.183543925,0.105088637,0.800364092,0.566804365,0.580179321,0.570208321,0.544293615,0.531081891,0.558194341,0.583938316,0.743734548,0.528518911,0.529119545,0.436210901,0.392947756,0.410538267,0.424407615,0.430043247,0.251210432,0.087433646,0.104147901,0.111862568,0.07854107,0.040046843,0.061693121,0.069630394,81393
1527,20134069,0.768822179,6.91932442,15.21817864,4.624017756,5.34769178,2.718236283,5.71200294,2.830605222,1.300439699,5.907650572,0.120993945,0.019056288,1.231204184,1.266847253,1.133420221,1.068428208,0.993192108,1.079905392,1.089269551,0.010118837,1.121277689,1.033314213,0.744914001,0.639906739,0.640172681,0.645071375,0.645798733,0.021958451,0.150523793,0.159359777,0.144102226,0.080117124,0.039021878,0.058100283,0.069062467,83182
1528,20168750,0.768822179,5.930849503,14.26704247,4.624017756,3.310475864,4.809187271,7.030157464,3.962847311,0.999118305,7.929850843,0.121704003,0.088929344,0.855837055,0.976757592,0.930524008,0.923955211,0.910426099,0.959510534,1.033121636,0.035415931,0.335069309,0.377433861,0.35970622,0.304196872,0.301728938,0.351088027,0.382342205,0.053512494,0.038073605,0.058901585,0.047192765,0.070853913,0.0757083,0.065310072,0.081530429,82736
1529,20162461,0.768822179,7.413561879,14.26704247,5.857089158,3.055823874,2.090950987,5.272618098,1.887070148,1.046695367,5.828175453,0.087053155,0.019056288,0.867098069,1.277863316,1.073950641,1.018030651,0.955257687,0.521711051,0.479128875,0.010118837,0.236519513,0.440814265,0.351653096,0.317059319,0.29905877,0.124784299,0.105676156,0.033710356,0.040796846,0.394029757,0.145895964,0.062456597,0.050603981,0.01003101,0.007792476,83319
1530,20119585,0.768822179,6.425086962,13.31590631,3.082678504,3.055823874,2.718236283,5.272618098,1.887070148,1.046695367,7.735578328,0.03564493,0.012704192,0.285279018,0.290089661,0.293849687,0.302385342,0.262092362,0.277273006,0.288225964,0.005059419,0.135049722,0.138155036,0.144956238,0.142130039,0.130838212,0.136064235,0.139433817,0.009056513,0.04005132,0.048267196,0.108767179,0.094662921,0.031810518,0.059522951,0.061666219,81352
1531,20176741,0.768822179,7.413561879,15.21817864,3.082678504,3.055823874,2.090950987,5.272618098,2.075777163,0.951541243,7.700256052,0.024426008,0.114337727,0.585572722,0.657291763,1.115929168,1.051629022,0.537979058,0.598325961,0.348117073,0.045534768,0.120449752,0.1338822,0.304676537,0.288118813,0.106139162,0.120554323,0.070450771,0.112811094,0.012953516,0.013911654,0.100306452,0.094694068,0.005351781,0.014033768,0.008875498,81136
1532,20147928,0.768822179,7.413561879,14.26704247,5.857089158,3.310475864,2.090950987,7.030157464,1.887070148,1.11013145,5.059915961,0.274934597,0.09528144,0.990969221,0.936365361,0.902538324,0.880277329,0.858697343,0.857357322,0.902109835,0.043005059,0.668678622,0.55689298,0.497951521,0.43217822,0.402527765,0.363777956,0.377939031,0.128336545,0.199376463,0.100692282,0.068122351,0.099534361,0.095446195,0.040485734,0.042805786,81008
1533,20147693,0.768822179,5.930849503,15.21817864,3.082678504,3.565127854,2.718236283,7.908927147,3.396726267,1.030836346,7.302880453,0.063479217,0.285844319,1.141116073,1.11262237,1.150911274,1.018030651,0.979397773,1.025180457,1.036864831,0.11636663,0.811758327,0.838188028,0.70666166,0.616754334,0.54137648,0.562586838,0.58782362,0.067959789,0.098192002,0.125695359,0.16156339,0.097354049,0.033223505,0.053265626,0.06795303,81025
1534,20155321,0.768822179,7.413561879,14.26704247,5.857089158,3.310475864,2.718236283,7.030157464,3.962847311,1.062554388,6.931996561,0.174532345,0.146098207,0.735719574,0.730732183,0.661161796,0.628289544,0.634539402,0.704127502,0.381805822,0.058183315,0.364999248,0.344675451,0.275819508,0.254033328,0.304399106,0.323593182,0.168788305,0.095201207,0.065326726,0.064085014,0.062018881,0.046365893,0.032205861,0.054579785,0.060253007,81215
