,movieCd,movieNm,director1,director2,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyCd
1056,20100077,포스 카인드,올라턴드 오선샌미, ,2009,20100225,장편,미국,SF,20101382
1057,20172244,치즈인더트랩,김제영, ,2017,20180314,장편,한국,멜로/로맨스,20174382
1058,20112175,컨테이젼,스티븐 소더버그, ,2011,20110922,장편,미국,액션, 
1059,20147612,쓰리데이즈 투 킬,맥지, ,2014,20140403,장편,미국,액션, 
1060,20090403,극장판 도라에몽: 진구의 공룡대탐험,와타나베 아유무, ,2006,20090715,장편,일본,애니메이션,20102046
1061,20126566,캐빈 인 더 우즈,드류 고다드, ,2012,20120628,장편,미국,공포(호러), 
1062,20143602,일곱난쟁이,헤랄드 지페르만, ,2014,20141224,장편,독일,애니메이션, 
1063,20081334,바빌론 A.D.,마티유 카소비츠, ,2007,20081002,장편,미국,SF, 
1064,20170964,딥,줄리오 소토 거피드, ,2017,20171003,장편,스페인,애니메이션, 
1065,20148648,극장판 루팡 3세 VS 명탐정 코난,카메가키 하지메, ,2013,20140529,장편,일본,애니메이션, 
