,movieCd,director_score,openDt_score,prdtYear_score,repNationNm_score,repGenreNm_score,showTm_score,watchGradeNm_score,distributor_score,actor_score,starScore,userCount,previous_screen,screen_D1,screen_D2,screen_D3,screen_D4,screen_D5,screen_D6,screen_D7,screen_D8,screen_D9,screen_D10,screen_D11,screen_D12,screen_D13,screen_D14,previous_show,show_D1,show_D2,show_D3,show_D4,show_D5,show_D6,show_D7,show_D8,show_D9,show_D10,show_D11,show_D12,show_D13,show_D14,previous_audience,audience_D1,audience_D2,audience_D3,audience_D4,audience_D5,audience_D6,audience_D7,audience_D8,audience_D9,audience_D10,audience_D11,audience_D12,audience_D13,audience_D14,final_audience
577,20110233,0.768822179,7.413561879,13.31590631,5.857089158,3.310475864,2.718236283,7.030157464,3.962847311,0.951541243,6.022447968,0.521040825,0.025408384,1.005983907,0.973085571,0.982997167,1.024750325,0.927669017,0.977752179,1.003176082,0.967734961,1.021721285,1.235704591,1.11689067,0.975116687,1.02768363,1.03453859,0.010118837,0.943158056,0.957827441,0.960335077,0.92738243,0.85445363,0.895344969,0.945948372,0.653287316,0.711504429,0.851638003,0.824170044,0.715181612,0.771570087,0.807292407,0.025156982,0.192480347,0.292122434,0.738258023,0.472498543,0.147924397,0.225263684,0.351902922,0.233807777,0.269080433,0.740058252,0.514374084,0.170966867,0.268967772,0.340771804,790959
578,20147176,0.768822179,8.402036796,14.26704247,5.857089158,7.639559686,4.809187271,7.030157464,5.0950894,1.585902072,6.905504854,0.671005151,1.302179673,1.749210823,1.667097544,1.584689383,1.491767687,1.496685329,1.590671456,1.613316758,1.294295729,1.062919724,1.048958238,0.978242173,0.959261131,1.048486942,1.072542048,0.521120126,1.584826734,1.431400116,1.295881924,1.131252215,1.103446758,1.194968285,1.205735589,0.588196721,0.403404936,0.387393346,0.345446738,0.3456179,0.394658522,0.412083253,0.669678854,1.12416019,2.003590259,0.530716213,0.577776469,0.624101122,0.555961478,0.644583029,0.438638875,0.390866198,0.181542097,0.179211396,0.172434263,0.129267043,0.182505313,790370
579,20123333,3.075288715,7.413561879,14.26704247,4.624017756,5.34769178,4.809187271,7.030157464,3.962847311,1.33215774,6.410992998,0.40260309,0.038112576,1.497714846,1.43576022,1.472746645,1.448089804,1.355293397,1.42649665,1.268942879,1.286330832,1.334829421,1.255571225,1.17080953,1.236733359,1.135860854,0.523603205,0.022767384,1.361447194,1.353064786,1.314001454,1.2257912,1.202242959,1.267582877,0.894578018,0.935875754,0.976059194,0.817133333,0.734553041,0.821341383,0.564522254,0.217587062,0.040934003,0.778028983,0.897123312,1.276260303,0.920228741,0.353986267,0.543048965,0.384433207,0.342851595,0.38762261,0.544203299,0.410128748,0.153975428,0.126911559,0.054652874,784031
580,20130561,0.768822179,6.425086962,15.21817864,5.857089158,3.310475864,2.718236283,5.71200294,3.019312237,1.585902072,6.737724046,0.243265994,0.641561693,2.218419734,2.159148361,1.861048017,1.696717752,1.755329107,1.871592791,1.871597167,1.3659798,1.446065206,1.346957738,1.30560668,1.339794472,1.43126789,1.397682748,0.260560063,2.006035865,1.983308121,1.62404674,1.424516007,1.519325361,1.596816027,1.637246561,0.85967213,0.926763275,0.773218298,0.733787084,0.868434815,0.925377049,0.963599847,0.755284469,0.60142213,0.852423206,0.848842751,0.555506138,0.338370195,0.572298039,0.591092305,0.344757955,0.355172977,0.37541981,0.271856145,0.188889343,0.307287854,0.469695456,781516
581,20147727,0.768822179,5.930849503,14.26704247,4.624017756,3.310475864,2.718236283,5.71200294,3.208019252,1.030836346,7.373525004,0.835880702,0.120689823,0.251495977,0.345169976,0.447770951,0.547653453,0.437970131,0.503469406,0.568965539,0.804454576,0.906365656,0.925785112,0.881958495,0.872055574,1.002719655,0.933196034,0.048064478,0.142349707,0.186580513,0.262397635,0.302910627,0.347789329,0.381402857,0.430043247,0.57787748,0.640846945,0.678330454,0.652595611,0.708796062,0.743682012,0.77532043,0.080178895,0.083260771,0.152682629,0.228630135,0.189350759,0.116150486,0.192132416,0.265881914,0.267242407,0.355159233,0.486312471,0.335827744,0.212782605,0.265489877,0.323422352,778493
582,20110301,0.768822179,7.413561879,13.31590631,5.857089158,5.34769178,4.809187271,7.030157464,3.962847311,2.061672693,6.252042758,0.632377976,0.247731743,1.602817642,1.678113607,1.602180436,1.599282475,1.579451338,1.630803075,1.680694256,1.103138206,1.067039568,1.068824872,1.051417769,1.074213911,1.135860854,1.140103752,0.113836921,1.476056958,1.563858037,1.571701432,1.48304014,1.466589551,1.492476613,1.552852409,0.794581535,0.760800348,0.766160524,0.670978586,0.646536948,0.659172692,0.675852059,0.279961268,0.569457697,0.5529325,0.450180561,0.778614357,0.787473204,0.386869037,0.392120022,0.200637105,0.158331116,0.195579516,0.305142591,0.318809589,0.652405723,0.971737347,771699
583,20124080,0.768822179,7.413561879,14.26704247,5.857089158,7.639559686,4.809187271,7.908927147,3.019312237,1.459029906,6.5522821,0.519194673,2.813978513,1.760471837,1.72584988,1.570696541,1.508566872,1.624282926,1.543243179,1.444873013,0.804454576,0.902245812,0.882078519,0.839593676,0.844308351,0.902863756,0.907860395,1.722732066,1.685566526,1.640056949,1.473721753,1.318400819,1.357780221,1.409992076,1.180784275,0.488973252,0.581691843,0.56226929,0.505531811,0.508449427,0.588184864,0.610131885,3.056177957,0.679919817,0.766857618,0.478856555,0.60003434,0.837769696,0.599208151,0.625432029,0.541347711,0.23614976,0.182978301,0.286849357,0.298893477,0.184944984,0.250474837,790181
584,20113920,0.768822179,6.425086962,13.31590631,3.082678504,3.055823874,2.090950987,5.272618098,3.019312237,1.094272429,5.015763117,0.099692194,0.114337727,1.013491249,1.020821844,1.325821802,1.286817622,0.92077185,0.999642154,1.07055358,1.015524341,1.083518943,1.335037758,1.274795903,1.050430577,1.119218204,0.945863854,0.045534768,0.486178998,0.497785413,0.791890559,0.770460576,0.415878603,0.494907219,0.563606167,0.424676445,0.482278406,0.741850416,0.72919134,0.527606078,0.57381828,0.475139095,0.10968444,0.079698813,0.110880785,0.76843409,0.589581301,0.048334416,0.120516794,0.190479806,0.242225092,0.286425387,0.664765745,0.574490045,0.175419656,0.352374023,0.347325108,768658
585,20168688,0.999468832,7.413561879,14.26704247,4.624017756,5.34769178,2.718236283,5.71200294,2.641898208,1.014977326,7.400016711,0.68705247,0.006352096,2.045750855,2.004923478,2.021965703,1.965504722,2.065701641,2.10143752,2.025068135,1.979276854,1.837450375,1.859516877,1.871754709,1.874919483,1.934708048,1.950844198,0.002529709,1.509636889,1.501189773,1.180453808,1.098452975,1.118800222,1.13715861,1.420757213,1.37087144,1.101763787,1.093170697,0.961276399,0.970603616,1.11890339,1.16253659,0.014411357,0.735565058,0.811000365,0.625831936,0.517338218,0.757390485,1.090341818,0.623411268,0.425279688,0.296334826,0.248561675,0.390101319,0.391167414,0.251341166,0.309328547,765259
586,20163194,0.768822179,5.930849503,14.26704247,4.624017756,4.838387801,2.718236283,7.030157464,3.019312237,1.046695367,6.16373707,0.706082034,0.025408384,2.864051197,2.761359809,2.662138235,2.711388566,2.617475034,2.685170165,2.740018253,1.919540128,1.870409126,1.883356837,1.860200668,1.910594484,1.818209499,1.849501643,0.010118837,2.762314307,2.674083301,2.57767088,2.406563836,2.395807873,2.292647116,2.335883373,1.45183779,1.201177223,1.130812156,0.999574263,0.986567492,1.0183373,1.039977347,0.042515299,1.186815448,0.686642666,0.677397929,1.103181841,0.950750112,0.401794987,0.388276614,0.279311135,0.20801575,0.165822548,0.239049549,0.237576545,0.120588114,0.148751597,764072
