,VIF Factor,features
0,9.601533408532203,director_score
1,52.26653492007736,openDt_score
2,144.48359701337978,prdtYear_score
3,31.217001796760854,repNationNm_score
4,22.256289739668283,repGenreNm_score
5,16.34010668777182,showTm_score
6,53.89054872987399,watchGradeNm_score
7,13.491621744403144,distributor_score
8,23.277941615349015,actor_score
9,55.643222168843316,starScore
10,5.746495703494939,userCount
11,11.761906693481833,previous_screen
12,666.2406815951945,screen_D1
13,1197.3412579440571,screen_D2
14,1437.7862050225938,screen_D3
15,1648.1503947478343,screen_D4
16,1280.194872381509,screen_D5
17,891.8391843370803,screen_D6
18,342.0019570438,screen_D7
19,354.1882849219356,screen_D8
20,967.991949856062,screen_D9
21,1349.4240309993816,screen_D10
22,1351.7992916253322,screen_D11
23,1082.1447262518698,screen_D12
24,701.9149705605596,screen_D13
25,164.57245018465207,screen_D14
26,10.179753711204592,previous_show
27,316.57012016652976,show_D1
28,1255.9287411180073,show_D2
29,2205.108599081263,show_D3
30,2858.512638330867,show_D4
31,2262.6672403781768,show_D5
32,916.3919270699154,show_D6
33,225.53919248977036,show_D7
34,264.4338848533443,show_D8
35,941.9073380990827,show_D9
36,1623.6293871277521,show_D10
37,2131.5812249852015,show_D11
38,1605.834491062146,show_D12
39,729.0703227972092,show_D13
40,163.48105006464354,show_D14
41,5.166655352703557,previous_audience
42,15.402604999676056,audience_D1
43,18.866270117958177,audience_D2
44,72.67858908263366,audience_D3
45,158.34305083877646,audience_D4
46,72.47238854720828,audience_D5
47,16.566211345583007,audience_D6
48,11.959075088381834,audience_D7
49,14.578266024049904,audience_D8
50,16.879294597741403,audience_D9
51,57.11865256928521,audience_D10
52,126.50239485273055,audience_D11
53,49.567821014090754,audience_D12
54,11.864460664072137,audience_D13
55,8.62373597168661,audience_D14
