,VIF Factor,features
0,8.988108597522864,director_score
1,49.7953203556348,openDt_score
2,139.98645355621917,prdtYear_score
3,30.53533890295432,repNationNm_score
4,21.645768305178688,repGenreNm_score
5,15.806037811945155,showTm_score
6,52.967137265661485,watchGradeNm_score
7,13.123499513826244,distributor_score
8,18.59576081845731,actor_score
9,52.35887676724617,starScore
10,4.875263293401984,userCount
11,11.274431700930366,previous_screen
12,634.8970226962764,screen_D1
13,1115.6869338834854,screen_D2
14,1375.710017682946,screen_D3
15,1498.989564083952,screen_D4
16,987.623754236531,screen_D5
17,749.9711872651484,screen_D6
18,281.8209520787168,screen_D7
19,9.885194449046592,previous_show
20,306.8413872201055,show_D1
21,1180.0709566718895,show_D2
22,2079.8639170873935,show_D3
23,2499.585696199653,show_D4
24,1811.1115595977226,show_D5
25,845.8388747089869,show_D6
26,173.39261284658923,show_D7
27,4.915770182832256,previous_audience
28,13.409081821661541,audience_D1
29,18.153844784997304,audience_D2
30,63.38959058983901,audience_D3
31,131.9136141472299,audience_D4
32,59.07789918008657,audience_D5
33,14.562489514606153,audience_D6
34,8.481698913175588,audience_D7
