,movieCd,director_score,openDt_score,prdtYear_score,repNationNm_score,repGenreNm_score,showTm_score,watchGradeNm_score,distributor_score,actor_score,starScore,userCount,previous_screen,previous_show,previous_audience,final_audience
947,20147096,0.768822179,6.425086962,15.21817864,4.624017756,5.34769178,2.718236283,7.908927147,5.0950894,1.363875781,5.474952698,0.196828178,0.0317604798,0.0126485467,0.0377354726,299205
948,20181561,0.768822179,6.91932442,15.21817864,5.857089158,3.310475864,2.718236283,5.272618098,2.830605222,1.030836346,8.380209855,0.30319492,0.285844319,0.123955758,0.422745109,313344
949,20155881,0.768822179,6.425086962,15.21817864,4.624017756,3.055823874,2.718236283,5.272618098,1.887070148,1.173567533,7.02030225,0.105940707,0.114337727,0.0480644776,0.115290853,298482
950,20129626,1.691408793,6.425086962,14.26704247,3.082678504,3.310475864,2.718236283,5.71200294,3.962847311,1.11013145,7.055624525,0.194698002,0.190562879,0.0758912804,0.205460664,298086
951,20150565,0.768822179,6.425086962,14.26704247,4.624017756,3.310475864,4.809187271,7.030157464,1.887070148,1.284580678,7.868036861,0.33883985,0.196914975,0.0809506991,0.143754181,300768
952,20157158,0.999468832,7.413561879,14.26704247,4.624017756,5.34769178,2.718236283,7.908927147,2.641898208,1.252862636,7.311711022,0.249230485,0.470055102,0.187198492,0.419366886,305134
953,20113889,1.306997704,7.413561879,13.31590631,4.624017756,3.055823874,2.090950987,5.272618098,2.641898208,1.046695367,7.550136382,0.0631951941,0.0381125758,0.0151782561,0.0481935893,298780
954,20127108,0.768822179,9.884749172,14.26704247,3.082678504,3.055823874,4.809187271,5.272618098,1.887070148,0.951541243,7.161591352,0.16814182,0.165154495,0.0683021524,0.189791458,300333
955,20153087,0.768822179,7.413561879,14.26704247,4.624017756,4.074431833,2.718236283,7.030157464,1.887070148,1.030836346,6.631757219,0.283881333,0.0254083839,0.0101188374,0.0551297286,295096
956,20112708,0.768822179,8.402036796,13.31590631,3.082678504,3.055823874,2.718236283,5.272618098,3.962847311,1.014977326,7.117438507,0.0400472915,0.0190562879,0.00758912804,0.0038813629,293895
