,movieCd,showTm,actor1,actor2,actor3,actor4,actor5,actor6,watchGradeNm,producedCompany,distributor
43,20140194,156,곽도원,황정민,쿠니무라 준,천우희,김환희,허진,15세이상관람가,(주)사이드미러,이십세기폭스코리아(주)
44,20172742,121,마동석,윤계상,조재윤,최귀화,박상규,유지연,청소년관람불가,(주)홍필름,메가박스(주)플러스엠
45,20072152,139,송강호,이병헌,정우성,오달수,엄지원,김광일,15세이상관람가,(주)다크서클픽쳐스,씨제이엔터테인먼트
46,20124054,124,송중기,박보영,장영남,유연석,김향기,장서이,15세이상관람가,(주)영화사비단길,씨제이이앤엠(주)
47,20161481,132,황정민,김규백,소지섭,송중기,이정현,김수안,15세이상관람가,(주)외유내강,씨제이이앤엠(주)
48,20112703,164,크리스찬 베일,게리 올드만,앤 해서웨이,톰 하디,조셉 고든 레빗, ,15세이상관람가, ,워너브러더스 코리아(주)
49,20100214,119,원빈,김새론,김희원,김성오,김태훈,김호연,청소년관람불가,오퍼스픽쳐스,씨제이엔터테인먼트
50,20148846,125,송강호,유아인,문근영,전혜진,김해숙,박원상,12세이상관람가,(주)타이거픽쳐스,(주)쇼박스
51,20090077,136,강동원,임수정,김윤석,유해진,염정아,김시권,12세이상관람가,영화사 집,씨제이엔터테인먼트
52,20157881,131,톰 크루즈,제레미 레너,사이먼 페그,알렉 볼드윈,레베카 퍼거슨, ,15세이상관람가, ,롯데쇼핑㈜롯데엔터테인먼트
53,20140110,128,콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인, , ,청소년관람불가, ,이십세기폭스코리아(주)
54,20134798,130,김무열,진구,김율호,이현우,이완,이청아,12세이상관람가,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW)
55,20100312,147,레오나르도 디카프리오,엘렌 페이지,마리옹 꼬띠아르, , , ,12세이상관람가,워너 브러더스 픽쳐스,워너브러더스 코리아(주)
56,20128274,158,휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터, ,12세이상관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
57,20162442,108,김규백,박서준,정다은,강하늘,성동일,박하선,15세이상관람가,(주)무비락,롯데쇼핑㈜롯데엔터테인먼트
58,20136049,108,손현주,문정희,전미선,장채린,김수안,김원해,15세이상관람가,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW)
59,20150979,127,손예진,박해일,윤제문,라미란,정상훈,박수영,12세이상관람가,(주)하이브미디어코프,롯데쇼핑㈜롯데엔터테인먼트
60,20136052,98,하정우,이경영,전혜진,이다윗,이재관,이춘연,15세이상관람가,(주)씨네이천,롯데쇼핑㈜롯데엔터테인먼트
61,20098169,125,크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오,12세이상관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
62,20090904,116,송강호,강동원,전국환,박혁권,윤희석,최정우,15세이상관람가,(주)쇼박스,(주)쇼박스
