,movieCd,story,poster,link,video,movieNm,director,actor1,actor2,actor3,repNationNm,repGenreNm,showTm,watchGradeNm,openDt,index,prediction,realValue,accuracy,predictionGraph,D0_prediction,D0_realValue,D0_accuracy
10,20156564,정체불명의 바이러스가 전국으로 확산되고 대한민국 긴급재난경보령이 선포된 가운데 <br/>?열차에 몸을 실은 사람들은 단 하나의 안전한 도시 부산까지<br/>?살아가기 위한 치열한 사투를 벌이게 된다.<br/>?서울에서 부산까지의 거리 442KM<br/>?지키고 싶은  지켜야만 하는 사람들의 극한의 사투!,https://movie-phinf.pstatic.net/20160720_9/1469001478520W9vSu_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130966,https://kakaotv.daum.net/embed/player/cliplink/v6d03KQK8WyWalAAK00DAyr@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,부산행,연상호,공유,김정희,정유미,한국,액션,118분,15세이상관람가,2016.07.20,10,11512379,11566862,99.53,plt_10.png,11_1000up,11_1000up,TRUE
11,20134803,1980년대 초 부산. <br/>?빽 없고  돈 없고  가방끈도 짧은 세무 변호사 송우석(송강호). 부동산 등기부터 세금 자문까지 남들이 뭐라든 탁월한 사업수완으로 승승장구하며  부산에서 제일 잘나가고 돈 잘 버는 변호사로 이름을 날린다.  <br/>?대기업의 스카우트 제의까지 받으며 전국구 변호사 데뷔를 코 앞에 둔 송변. 하지만 우연히 7년 전 밥값 신세를 지며 정을 쌓은 국밥집 아들 진우(임시완)가  뜻하지 않은 사건에 휘말려 재판을 앞두고 있다는 소식을 듣는다. 국밥집 아줌마 순애(김영애)의 간절한 부탁을 외면할 수 없어  구치소 면회만이라도 도와주겠다고 나선 송변. <br/>?하지만 그곳에서 마주한 진우의 믿지 못할 모습에 충격을 받은 송변은 모두가 회피하기 바빴던 사건의 변호를 맡기로 결심하는데... <br/>?<br/>?“제가 하께요  변호인. 하겠습니더”,https://movie-phinf.pstatic.net/20131203_145/1386034788519v2Vwy_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101901,https://kakaotv.daum.net/embed/player/cliplink/v77b3dudWj4r4VVjf6fudu4@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,변호인,양우석,송강호,김영애,오달수,한국,드라마,127분,15세이상관람가,2013.12.18,11,11358106,11374879,99.85,plt_12.png,11_1000up,11_1000up,TRUE
12,20090074,2004년 역사상 유례없는 최대의 사상자를 내며 전세계에 엄청난 충격을 안겨준 인도네시아 쓰나미. 당시 인도양에 원양어선을 타고 나갔던 해운대 토박이 만식은 예기치 못한 쓰나미에 휩쓸리게 되고  단 한 순간의 실수로 그가 믿고 의지했던 연희 아버지를 잃고 만다. 이 사고 때문에 그는 연희를 좋아하면서도 자신의 마음을 숨길 수 밖에 없다. 그러던 어느 날  만식은 오랫동안 가슴 속에 담아두었던 자신의 마음을 전하기로 결심하고 연희를 위해 멋진 프로포즈를 준비한다.<br/>? 한편 국제해양연구소의 지질학자 김휘 박사는 대마도와 해운대를 둘러싼 동해의 상황이 5년전 발생했던 인도네시아 쓰나미와 흡사하다는 엄청난 사실을 발견하게 된다. 그는 대한민국도 쓰나미에 안전하지 않다고 수차례 강조하지만 그의 경고에도 불구하고 재난 방재청은 지질학적 통계적으로 쓰나미가 한반도를 덮칠 확률은 없다고 단언한다. 그 순간에도 바다의 상황은 시시각각 변해가고  마침내 김휘 박사의 주장대로 일본 대마도가 내려 앉으면서 초대형 쓰나미가 생성된다. 한여름 더위를 식히고 있는 수백만의 휴가철 인파와 평화로운 일상을 보내고 있는 부산 시민들  그리고 이제 막 서로의 마음을 확인한 만식과 연희를 향해 초대형 쓰나미가 시속 800km의 빠른 속도로 밀려오는데…<br/>? 가장 행복한 순간 닥쳐온 엄청난 시련  남은 시간은 단 10분! 그들은 가장 소중한 것을 지켜내야만 한다!,https://movie-phinf.pstatic.net/20111223_60/1324590429026hhy5E_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45321,https://kakaotv.daum.net/embed/player/cliplink/_FiEtCA84NY$@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,해운대,윤제균,설경구,하지원,박중훈,한국,액션,129분,12세이상관람가,2009.07.22,12,11313510,11324561,99.9,plt_11.png,11_1000up,11_1000up,TRUE
13,20177478,"새로운 조합을 이룬 어벤져스  <br/>?역대 최강 빌런 타노스에 맞서 세계의 운명이 걸린 <br/>?인피니티 스톤을 향한 무한 대결이 펼쳐진다! <br/>? <br/>?마블의 클라이맥스를 목격하라!",https://movie-phinf.pstatic.net/20180322_242/15216962441485x5Om_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136315,https://kakaotv.daum.net/embed/player/cliplink/v5600V97VAtVgtBggAzbQgz@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,어벤져스: 인피니티 워,안소니 루소,로버트 다우니 주니어,조슈 브롤린,마크 러팔로,미국,액션,149분,12세이상관람가,2018.04.25,13,10368925,11206127,92.53,plt_71.png,11_1000up,11_1000up,TRUE
14,20148493,쉴드의 숙적 히드라는 연구를 통해 새로운 능력자 막시모프 남매를 탄생시키고  히드라의 기지를 공격하는 도중 토니 스타크는 완다 막시모프의 초능력으로 인해 자신이 가장 두려워하는 미래를 보게 된다.<br/>?이에 '뉴욕전쟁' 때와 같은 사태가 벌어지지 않도록 스타크는 배너 박사와 함께 지구를 지킬 최강의 인공지능 울트론을 탄생시키게 되지만  울트론은 예상과 다르게 지배를 벗어나 폭주하기 시작하는데...,https://movie-phinf.pstatic.net/20150324_33/1427159150181p9uQM_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98438,https://kakaotv.daum.net/embed/player/cliplink/v5d9dMMM3HHMOGijlMOyimy@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,어벤져스: 에이지 오브 울트론,조스 웨던,로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,미국,액션,141분,12세이상관람가,2015.04.23,14,10507079,10494499,99.88,plt_13.png,11_1000up,11_1000up,TRUE
15,20149120,세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. <br/>?지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고  NASA도 해체되었다. <br/>?이때 시공간에 불가사의한 틈이 열리고  남은 자들에게는 이 곳을 탐험해 인류를 구해야 하는 임무가 지워진다.<br/>?사랑하는 가족들을 뒤로 한 채 인류라는 더 큰 가족을 위해  그들은 이제 희망을 찾아 우주로 간다.<br/>?그리고 우린 답을 찾을 것이다. 늘 그랬듯이…,https://movie-phinf.pstatic.net/20160106_138/1452044846608eaFcJ_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45290,https://kakaotv.daum.net/embed/player/cliplink/v26b9dxHspHAitTt6AtnxB6@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,인터스텔라,크리스토퍼 놀란,매튜 매커너히,앤 해서웨이,마이클 케인,미국,SF,169분,12세이상관람가,2014.11.06,15,10375738,10309432,99.36,plt_15.png,11_1000up,11_1000up,TRUE
16,20136803,서로가 최고의 친구였던 자매 ‘엘사’와 ‘안나’. 하지만 언니 ‘엘사’에게는 하나뿐인 동생에게조차 말 못할 비밀이 있다. 모든 것을 얼려버리는 신비로운 힘이 바로 그것. ‘엘사’는 통제할 수 없는 자신의 힘이 두려워 왕국을 떠나고  얼어버린 왕국의 저주를 풀기 위해 ‘안나’는 언니를 찾아 환상적인 여정을 떠나는데……,https://movie-phinf.pstatic.net/20170418_82/1492496178995pHxdA_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100931,https://kakaotv.daum.net/embed/player/cliplink/v3cc4znwnneC4ddeC4U6nfi@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,겨울왕국,크리스 벅,이디나 멘젤,크리스틴 벨,조나단 그로프,미국,애니메이션,108분,전체관람가,2014.01.16,16,10318344,10296101,99.78,plt_14.png,11_1000up,11_1000up,TRUE
17,20145507,진실 앞에 무대뽀! 다혈질 검사  살인 누명을 쓰고 감옥에 갇히다!<br/>? <br/>?거친 수사 방식으로 유명한 다혈질 검사 ‘변재욱’(황정민).<br/>?취조 중이던 피의자가 변사체로 발견 되면서 살인 혐의로 체포된다.<br/>?꼼짝없이 살인 누명을 쓰게 된 '변재욱'은 결국 15년 형을 받고 수감 된다.<br/>? <br/>?진실 따위 나 몰라라! 허세남발 꽃미남 사기꾼  반격 작전에 선수로 기용되다!<br/>?<br/>?감옥에서 복수의 칼을 갈던 재욱.<br/>?5년 후  자신이 누명을 쓰게 된 사건에 대해 알고 있는 허세남발 꽃미남 사기꾼 ‘치원’(강동원)을<br/>?우연히 만나게 되고  그 순간 감옥 밖 작전을 대행해 줄 선수임을 직감한다.<br/>?검사 노하우를 총 동원  치원을 무혐의로 내보내고 반격을 준비하는 재욱.<br/>?하지만 자유를 얻은 치원은 재욱에게서 벗어날 기회만 호시탐탐 노리는데…<br/>?<br/>?감옥에 갇힌 검사와 세상 밖으로 나온 사기꾼!<br/>?이들의 예측불허  반격의 한탕은 성공할 수 있을까?,https://movie-phinf.pstatic.net/20160112_146/1452573577623EyUOh_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130903,https://kakaotv.daum.net/embed/player/cliplink/v6cb0Bu47kUBxxSx37Uu7H3@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,검사외전,이일형,황정민,강동원,이성민,한국,범죄,126분,15세이상관람가,2016.02.03,17,9677464,9707581,99.69,plt_16.png,10_900up 1000down,10_900up 1000down,TRUE
18,20126674,기상 이변으로 모든 것이 꽁꽁 얼어붙은 지구. 살아남은 사람들을 태운 기차 한 대가 끝없이 궤도를 달리고 있다. 춥고 배고픈 사람들이 바글대는 빈민굴 같은 맨 뒤쪽의 꼬리칸  그리고 선택된 사람들이 술과 마약까지 즐기며 호화로운 객실을 뒹굴고 있는 앞쪽칸. 열차 안의 세상은 결코 평등하지 않다. <br/>?<br/>?기차가 달리기 시작한 17년 째  꼬리칸의 젊은 지도자 커티스는 긴 세월 준비해 온 폭동을 일으킨다. 기차의 심장인 엔진을 장악  꼬리칸을 해방시키고 마침내 기차 전체를 해방 시키기 위해 절대권력자 윌포드가 도사리고 있는 맨 앞쪽 엔진칸을 향해 질주하는 커티스와 꼬리칸 사람들. 그들 앞에 예기치 못한 상황들이 기다리고 있는데…,https://movie-phinf.pstatic.net/20130610_131/1370829667952NUsHp_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62328,https://kakaotv.daum.net/embed/player/cliplink/vccb57k7NLa7aLua99qMqNk@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,설국열차,봉준호,크리스 에반스,송강호,에드 해리스,한국,SF,125분,15세이상관람가,2013.08.01,18,9373492,9350351,99.75,plt_19.png,10_900up 1000down,10_900up 1000down,TRUE
19,20126091,얼굴을 보면 그 사람의 모든 것을 꿰뚫어보는 천재 관상가 내경. 처남 ‘팽헌’  아들 ‘진형’과 산속에 칩거하고 있던 그는 관상 보는 기생 ‘연홍’의 제안으로 한양으로 향하고  연홍의 기방에서 사람들의 관상을 봐주는 일을 하게 된다. 용한 관상쟁이로 한양 바닥에 소문이 돌던 무렵  ‘내경’은 ‘김종서’로부터 사헌부를 도와 인재를 등용하라는 명을 받아 궁으로 들어가게 되고  ‘수양대군’이 역모를 꾀하고 있음을 알게 된 그는 위태로운 조선의 운명을 바꾸려 한다.,https://movie-phinf.pstatic.net/20130819_110/1376895907326wlXma_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93728,https://kakaotv.daum.net/embed/player/cliplink/v3ae9ggI9gBIT8g4TtFHB4k@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,관상,한재림,송강호,이정재,백윤식,한국,사극,140분,15세이상관람가,2013.09.11,19,9113013,9135806,99.75,plt_17.png,10_900up 1000down,10_900up 1000down,TRUE
